transcription,transcription_hubert
A FUR MUFF IS STYLISH ONCE MORE,AFIRM OU FIST STYLISH ONCE MORE
THE TIN BOXS HELD PRICELESS STONES,THE TIN BOX HELD PRICELES STONES
WE NEED AN END OF ALL SUCH MATTER,WE NED AN END OF AL SUCH MATER
THE CASE WAS PUZZLING TO THE OLD AND WISE,THE CASE WAS PUZLING TO THE OLD AND WISE
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN,THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN
WE DON'T GET MUCH MONEY BUT WE HAVE FUN,WE DON'T GET MUCH MONEY BUT WE HAVE FUN
THE YOUTH DROVE WITH ZEST,THE YOUTH DROVE WITH ZEST
BUT LITTLE SKILL,BUT LITLE SKIL
FIVE YEARS HE LIVED WITH A SHAGGY DOG,FIVE YEARS HE LIVED WITH A SHAGY DOG
A FENCE CUT THROUGH THE CORNER LOT,A FENCE CUTS THROUGH THE CORNER LOT
THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH,THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH
SHUT THE HATCH BEFORE THE WAVES PUSH IT IN,SHUT THE HATCH BEFORE THE WAVES PUSH IT IN
THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP,THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP
CRACK THE WALNUT WITH YOUR SHARP SIDE TEETH,CRACK THE WALNUT WITH YOUR SHARP SIED TETH
HE OFFERED PROOF IN THE FORM OF A LARGE CHART,HE OFERED PROF IN THE FORM OF A LARGE CHART
SEND THE STUFF IN A THICK PAPER BAG,SEND THE STUF IN A THICK PAPER BAG
A QUART OF MILK IS WATER FOR THE MOST PART,A QUART OF MILK IS WATER FOR THE MOST PART
THEY TOLD WILD TALES TO FRIGHTEN HIM,THEY TOLD WILD TALES TO FRIGHTEN HIM
THE THREE STORY HOUSE WAS BUILT OF STONE,THE THRE STORY HOUSE WAS BUILT OF STONE
IN THE REAR OF THE GROUND FLOOR WAS A LARGE PASSAGE,IN THE REAR OF THE GROUND FLOR WAS A LARGE PASAGE
A MAN IN A BLUE SWEATER SAT AT THE DESK,A MAN IN A BLUE SWEATER SAT AT THE DESK
OATS ARE A FOOD EATEN BY HORSE AND MAN,OATS ARE FOD EATEN BY HORSE AND MAN
THEIR EYELIDS DROOP FOR WANT OF SLEEP,THEIR EYELIDS DROPED FOR WANT OF SLEP
A SIP OF TEA REVIVES HIS TIRED FRIEND,A SIP OF TEA REVIVES HIS TIRED FRIEND
THERE ARE MANY WAYS TO DO THESE THINGS,THERE ARE MANY WAYS TO DO THESE THINGS
TUCK THE SHEET UNDER THE EDGE OF THE MAT,TUCK THE SHET UNDER THE EDGE OF THE MAT
A FORCE EQUAL TO THAT WOULD MOVE THE EARTH,A FORCE EQUAL TO THAT WOULD MOVE THE EARTH
WE LIKE TO SEE CLEAR WEATHER,WOE LIKE TO SE CLEAR WEATHER
THE WORK OF THE TAILOR IS SEEN ON EACH SIDE,THE WORK OF THE TAILOR IS SEN ON EACH SIDE
TAKE A CHANCE AND WIN A CHINA DOLL,TAKE A CHANCE AND WIN A CHINA DOL
SHAKE THE DUST FROM YOUR SHOES,SHAKE THE DUST FROM YOUR SHOES
STRANGER,STRANGER
SHE WAS KIND TO SICK OLD PEOPLE,SHE WAS KIND TO SICK OLD PEOPLE
THE SQUARE WOODEN CRATE WAS PACKED TO BE SHIPPED,THE SQUARE WODEN CRATE WAS PACKED TO BE SHIPED
THE DUSTY BENCH STOOD BY THE STONE WALL,THE DUSTY BENCH STOD BY THE STONE WAL
WE DRESS TO SUIT THE WEATHER OF MOST DAYS,WE DRES TO SUIT THE WEATHER OF MOST DAYS
SMILE WHEN YOU SAY NASTY WORDS,SMILE WHEN YOU SAY NASTY WORDS
A BOWL OF RICE IS FREE WITH CHICKEN STEW,A BOWL OF RICE IS FRE WITH CHICKEN STEW
THE WATER IN THIS WELL IS A SOURCE OF GOOD HEALTH,THE WATER IN THIS WEL IS A SOURCE OF GOD HEALTH
TAKE SHELTER IN THIS TENT,TAKE SHELTER IN THIS TENT
BUT KEEP STILL,BUT KEP STIL
THAT GUY IS THE WRITER OF A FEW BANNED BOOKS,THAT GUY IS THE WRITER OF A FEW BAND BOKS
THE LITTLE TALES THEY TELL ARE FALSE,THE LITLE TALES THEY TEL ARE FALSE
THE DOOR WAS BARRED,THE DOR WAS BARED
LOOKED,LOCKED
AND BOLTED AS WELL,AND BOLTED AS WEL
RIPE PEARS ARE FIT FOR A QUEEN'S TABLE,RIPE PEARS ARE FIT FOR A QUEN'S TABLE
A BIG WET STAIN WAS ON THE ROUND CARPET,A BIG WET STAIN WAS ON THE ROUND CARPET
THE KITE DIPPED AND SWAYED,THE KITE DIPED AND SWAYED
BUT STAYED ALOFT,BUT STAYED ALOFT
THE PLEASANT HOURS FLY BY MUCH TOO SOON,THE PLEASANT HOURS FLY BY MUCH TO SON
THE ROOM WAS CROWDED WITH A WILD MOB,THE ROM WAS CROWDED WITH A WILD MOB
THIS STRONG ARM SHALL SHIELD YOUR HONOR,THIS STRONG ARM SHAL SHIELD YOUR HONOR
SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID,SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID
THE BEETLE DRONED IN THE HOT JUNE SUN,THE BETLE DRONED IN THE HOT JUNE SUN
PRESS THE PEDAL WITH YOUR LEFT FOOT,PRES THE PEDAL WITH YOUR LEFT FOT
NEAT PLANS FAIL WITHOUT LUCK,NEAT PLANS FAIL WITHOUT LUCK
THE BLACK TRUNK FELL FROM THE LANDING,THE BLACK TRUNK FEL FROM THE LANDING
THE BANK PRESSED FOR PAYMENT OF THE DEBT,THE BANK PRESED FOR PAYMENT OF THE DEBT
THE THEFT OF THE PEARL PIN WAS KEPT SECRET,THE THEFT OF THE PEARL PIN WAS KEPT SECRET
SHAKE HANDS WITH THIS FRIENDLY CHILD,SHAKE HANDS WITH THIS FRIENDLY CHILD
THE VAST SPACE STRETCHED INTO THE FAR DISTANCE,THE VAST SPACE STRETCHED INTO THE FAR DISTANCE
A RICH FARM IS RARE IN THIS SANDY WASTE,A RICH FARM IS RARE IN THE SANDY WASTE
HIS WIFE GRIN EARNED MANY FRIENDS,HIS WIFE GRENERNED MANY FRIENDS
FLAX MAKES A FINE BRAND OF PAPER,FLAX MAKES A FINE BRAND OF PAPER
HURDLE THE PIT WITH THE AID OF A LONG POLE,HURTLE THE PIT WITH THE AID OF A LONG POLE
A STRONG BID MAY SCARE YOUR PARTNER STIFF,A STRONG BID MAY SCARE YOUR PARTNER STIF
EVEN A JUST CAUSE NEEDS POWER TO WIN,EVEN A JUST CAUSE NEDS POWER TO WIN
PEEP UNDER THE TENT AND SEE THE CLOWNS,PEP UNDER THE TENT AND SE THE CLOWNS
THE LEAF DRIFTS ALONG WITH A SLOW SPIN,THE LEAF DRIFTS ALONG WITH A SLOW SPIN
CHEAP CLOTHES ARE FLASHY BUT DON'T LAST,CHEAP CLOTHES ARE FLASHY BUT DON'T LAST
A THING OF SMALL NOTE CAN CAUSE DESPAIR,A THING OF SMAL NOTE CAN CAUSE DESPAIR
FLOOD THE MAILS WITH REQUESTS FOR THIS BOOK,FLOD THE MAILS WITH REQUESTS FOR THIS BOK
A THICK COAT OF BLACK PAINT COVERED ALL,A THICK COAT OF BLACK PAINT COVER DOL
THE PENCIL WAS CUT TO BE SHARP AT BOTH ENDS,THE PENCIL WAS CUT TO BE SHARP AT BOTH ENDS
THOSE LAST WORDS WERE A STRONG STATEMENT,THOSE LAST WORDS WERE A STRONG STATEMENT
HE WROTE HIS NAME BOLDLY AT THE TOP OF THE SHEET,HE WROTE HIS NAME BOLDLY AT THE TOP OF THE SHET
DILL PICKLES ARE SOUR BUT TASTE FINE,DIL PACOS OR SOUR BUT TASTE FINE
DOWN THAT ROAD IS THE WAY TO THE GRAIN FARMER,DOWN THE ROAD IS THE WAY TO THE GRAN FARMER
EITHER MUD OR DUST ARE FOUND AT ALL TIMES,EITHER MUD OR DUST ARE FOUND AT AL TIMES
THE BEST METHOD IS TO FIX IT IN PLACE WITH CLIPS,THE BEST METHOD IS TO FIX IT IN PLACE WITH CLIPS
IF YOU MUMBLE YOUR SPEECH WILL BE LOST,IF YOU MUMBLE YOUR SPECH WIL BE LOST
AT NIGHT THE ALARM ROUSED HIM FROM A DEEP SLEEP,AT NIGHT THE ALARM ROUSED HIM FROM A DEP SLEP
READ JUST WHAT THE METER SAYS,READ JUST WHAT THE METER SAYS
FILL YOUR PACK WITH BRIGHT TRINKETS FOR THE POOR,FIL YOUR PACK WITH BRIGHT TRINKETS FOR THE POR
THE SMALL RED NEON LAMP WENT OUT,THE SMAL RED NION LAMP WENT OUT
CLAMS A SMALL ROUND SOFT AND TASTY,CLIMS ARE SMAL ROUND SOFT AND TASTY
THE FAN WHIRLED ITS ROUND BLADES SOFTLY,THE FAN WHIRLED ITS ROUND BLADE SOFTLY
THE LINE WHERE THE EDGES JOIN WAS CLEAN,THE LINE WHERE THE EDGES JOINED WAS CLEAN
BREATHE DEEP AND SMELL THE PINY AIR,BREATHE DEP AND SMEL THE PINY AIR
IT MATTERS NOT IF HE READS THESE WORDS OR THOSE,IT MATERS NOT IF HE READS THESE WORDS OR THOSE
A BROWN LEATHER BAG HUNG FROM ITS STRAP,A BROWN LEATHER BAG HUNG FROM ITS STRAP
HE TOAD AND A FROG ARE HARD TO TELL APART,A TOAD IN A FROG GARHARD TO TEL APART
A WHITE SILK JACKET GOES WITH ANY SHOES,A WHITE SILK JACKET GOES WITH ANY SHOES
A BREAK IN THE DAM ALMOST CAUSED A FLOOD,A BREAK IN THE DAMN ALMOST CAUSED A FLOD
PAINT THE SOCKETS IN THE WALL DULL GREEN,PAINT THE SOCKETS IN THE WAL DUL GREN
THE CHILD CRAWLED INTO THE DENSE GRASS,THE CHILD CRAWLED INTO THE DENSE GRAS
BRIBES FAIL WHERE HONEST MEN WORK,BRIBES FAIL WHERE HONEST MEN WORK
TRAMPLE THE SPARK,TRAMPLE THE SPARK
ELSE THE FLAMES WILL SPREAD,ELSE THE FLAMES WIL SPREAD
THE HILT OF THE SWORD WAS CARVED WITH FINE DESIGNS,THE HILT OF THE SWORD WAS CARVED WITH FINE DESIGNS
A ROUND HOLE WAS DRILLED THROUGH THE THIN BOARD,A ROUND HOLE WAS DRILED THROUGH THE THIN BOARD
FOOTPRINTS SHOWED THE PATH HE TOOK UP THE BEACH,FOTPRINTS SHOWED THE PATH HE TOK UP THE BEACH
SHE WAS WAITING AT MY FRONT LAWN,SHE WAS WAITING AT MY FRONT LAWN
A VENT NEAR THE EDGE BROUGHT IN FRESH AIR,A VENT NEAR THE EDGE BROUGHT IN FRESH AIR
PROD THE OLD MULE WITH A CROOKED STICK,PROD THE OLD MULE WITH A CROKED STICK
IT IS A BAND OF STEEL THREE INCHES WIDE,IT IS A BAND OF STEL THRE INCHES WIDE
THE PIPE RAN ALMOST THE LENGTH OF THE DITCH,THE PIPE RAN ALMOST THE LENGTH OF THE DITCH
IT WAS HIDDEN FROM SIGHT BY A MASS OF LEAVES AND SHRUBS,IT WAS HIDEN FROM SIGHT BY A MAS OF LEAVES AND SHRUBS
THE WEIGHT OF THE PACKAGE WAS SEEN ON THE HIGH SCALE,THE WEIGHT OF THE PACKAGE WAS SEN ON THE HIGH SCALE
WAKE AND RISE,WAKE AND RISE
AND STEP INTO THE GREEN OUTDOORS,AND STEP INTO THE GREN OUTDORS
THE GREEN LIGHT IN THE BROWN BOX FLICKERED,THE GREN LIGHT IN THE BROWN BOX FLICKERED
THE BRASS TUBE CIRCLED THE HIGH WALL,THE BRAS TUBE CIRCLED THE HIGH WAL
THE LOBES OF HER EARS WERE PIERCED TO HOLD RINGS,THE LOBES OF HER EARS WERE PIERCED TO WHOLE RINGS
HOLD THE HAMMER NEAR THE END TO DRIVE THE NAIL,HOLD THE HAMER NEAR THE END TO DRIVE THE NAIL
NEXT SUNDAY IS THE TWELFTH OF THE MONTH,NEXT SUNDAY IS THE TWELFTH OF THE MONTH
EVERY WORD IN PHRASE HE SPEAKS IS TRUE,EVERY WORD AND PHRASE HE SPEAKS IS TRUE
HE PUT HIS LAST CARTRIDGE INTO THE GUN AND FIRED,HE PUT HIS LAST CARTRIDGE INTO THE GUN AND FIRED
THEY TOOK THEIR KIDS FROM THE PUBLIC SCHOOL,THEY TOK THEIR KIDS FROM THE PUBLIC SCHOL
DRIVE THE SCREW STRAIGHT INTO THE WOOD,DRIVE THE SCREW STRAIGHT INTO THE WOD
KEEP THE HATCH TIGHT ON THE WATCH CONSTANT,KEP THE HATCH TIGHT AND THE WATCH CONSTANT
SEVER THE TWINE WITH A QUICK SNIP OF THE KNIFE,SEVER THE TWINE WITH A QUICK SNIP OF THE KNIFE
PAPER WILL DRY OUT WHEN WET,PAPER WIL DRY OUT WHEN WET
SLIDE THE CATCH BACK AND OPEN THE DESK,SLIDE THE CATCH BACK AND OPEN THE DESK
HELP THE WEAK TO PRESERVE THEIR STRENGTH,HELP THE WEAK TO PRESERVE THEIR STRENGTH
A SULLEN SMILE GETS FEW FRIENDS,A SULEN SMILE GETS FEW FRIENDS
STOP WHISTLING AND WATCH THE BOYS MARCH,STOP WHISTLING AND WATCH THE BOYS MARCH
JERK THE CORD,JERK THE CORD
AND OUT TUMBLES THE GOLD,AND OUT TUMBLES THE GOLD
SLIDE THE TRAY ACROSS THE GLASS TOP,SLIDE THE TRAY ACROS THE GLAS TOP
THE CLOUD MOVED IN A STATELY WAY AND WAS GONE,THE CLOUD MOVED IN A STATELY WAY AND WAS GONE
LIGHT MAPLE MAKES FOR A SWELL ROOM,LIGHT MAPLE MAKES FOR A SWEL ROM
SET THE PEACE HERE AND SAY NOTHING,SET THE PEACE HERE AND SAY NOTHING
DULL STORIES MAKE HER LAUGH,DUL STORIES MAKE HER LAUGH
A STIFF CORD WILL DO TO FASTEN YOUR SHOE,A STIF CORD WIL DO TO FASTEN YOUR SHOE
GET THE TRUST FUND TO THE BANK EARLY,GITE THE TRUST FUND TO THE BANK EARLY
CHOOSE BETWEEN THE HIGH ROAD AND THE LOW,CHOSE BETWEN THE HIGH ROAD AND THE LOW
A PLEA FOR FUNDS SEEMS TO COME AGAIN,A PLEA FOR FUNS SEMS TO COME AGAIN
HE LENT HIS COAT TO THE TALL GAUNT STRANGER,HE LENT HIS COAT TO THE TAL GAUNT STRANGER
THERE IS A STRONG CHANCE IT WILL HAPPEN ONCE MORE,THERE IS A STRONG CHANCE IT WIL HAPEN ONCE MORE
THE DUKE LEFT THE PARK IN A SILVER COACH,THE DUKE LEFT THE PARK IN A SILVER COACH
GREET THE NEW GUESTS AND LEAVE QUICKLY,GRET THE NEW GUESTS AND LEAVE QUICKLY
WHEN THE FROST HAS COME IT IS TIME FOR TURKEY,WHEN THE FROST HAS COME IT IS TIME FOR TURKEY
SWEET WORDS WORK BETTER THAN FIERCE,SWET WORDS WORK BETER THAN FEARS
A THIN STRIPE RUNS DOWN THE MIDDLE,A THIN STRIPE RUNS DOWN THE MIDLE
A SIX COMES UP MORE OFTEN THAN A TEN,A SIX COMES UP MORE OFTEN THAN A TEN
LUSH FERN GROW ON THE LOFTY ROCKS,LUSH FERNS GROW ON THE LOFTY ROCKS
THE RAM SCARED THE SCHOOL CHILDREN OFF,THE RAM SCARED THE SCHOL CHILDREN OF
THE TEAM WITH THE BEST TIMING LOOKS GOOD,THE TEAM WITH THE BEST TIMING LOKS GOD
THE FARMER SWAPPED HIS HORSE FOR A BROWN OX,THE FARMER SWAPED HIS HORSE FOR A BROWN OX
SIT ON THE PERCH AND TELL THE OTHERS WHAT TO DO,SIT ON THE PERCH AND TEL THE OTHERS WHAT TO DO
A STEEP TRAIL IS PAINFUL FOR OUR FEET,A STEP TRAIL IS PAINFUL FOR OUR FET
THE EARLY PHASE OF LIFE MOVES FAST,THE EARLY PHASE OF LIFE MOVES FAST
GREEN MOSS GROWS ON THE NORTHERN SIDE,GREN MOS GROWS ON THE NORTHERN SIDE
TEA IN THIN CHINA HAS A SWEET TASTE,TEA AN FINCHINA HAS A SWET TASTE
PITCH THE STRAW THROUGH THE DOOR OF THE STABLE,PITCH THE STRAW THROUGH THE DOR OF THE STABLE
THE LATCH ON THE BACK GATE NEEDED A NAIL,THE LATCH ON THE BACK GATE NEDED A NAIL
THE GOOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET,THE GOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET
THE SINK IS THE THING IN WHICH WE PILE DISHES,THE SINK IS THE THING IN WHICH WE PILE DISHES
A WHIFF OF IT WILL CURE THE MOST STUBBORN COLD,A WHIF OF IT WIL CURE THE MOST STUBORN COLD
THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT,THE FACTS DON'T ALWAYS SHOW HO IS RIGHT
SHE FLAPS HER CAPE AS SHE PARADES THE STREET,SHE FLAPS HER CAPE AS SHE PARADES THE STRET
THE LOSS OF THE CRUISER WAS A BLOW TO THE FLEET,THE LOS OF THE CRUISER WAS A BLOW TO THE FLET
LOOP THE BRAID TO THE LEFT AND THEN OVER,LOP THE BRAD TO THE LEFT AND THEN OVER
PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE,PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE
CALVES THRIVE ON TENDER SPRING GRASS,CALFS THRIVE ON TENDER SPRING GRAS
POST NO BILLS ON THIS OFFICE WALL,POST NO BILS ON THIS OFICE WAL
TEAR A THIN SHEET FROM THE YELLOW PAD,TEAR A THIN SHET FROM THE YELOW PAD
A CRUISE IN WARM WATERS IN A SLEEK YACHT IS FUN,A CRUISE IN WARM WATERS IN A SLE CURATIS FAN
A STREAK OF COLOR RAN DOWN THE LEFT EDGE,A STREAK OF COLOR RAN DOWN THE LEFT HEDGE
IT WAS DONE BEFORE THE BOY COULD SEE IT,IT WAS DONE BEFORE THE BOY COULD SE IT
CROUCH BEFORE YOU JUMP OR MISS THE MARK,CROUCH BEFORE YOU JUMP OR MENACE THE MARK
PACK THE KITS AND DON'T FORGET THE SALT,PACK THE KITS AND DON'T FORGET THE SALT
THE SQUARE PEG WILL SETTLE IN THE ROUND HOLE,THE SQUAREBECK WIL SETLE IN THE ROUND HOLE
FINE SOAP SAVES TENDER SKIN,FINE SOAP SAFE'S TENDER SKIN
POACHED EGGS AND TEA MUST SUFFICE,POACHED EGS AND TEA MUST SUFICE
BAD NERVES ARE JANGLED BY A DOOR SLAM,BAD NERVES ARE JANGLED BY A DOR SLAM
SHIP MAPS ARE DIFFERENT FROM THOSE FOR PLANES,SHIP MAPS ARE DIFERENT FROM THOSE FOR PLANS
DIMES SHOWERED DOWN FROM ALL SIDES,DIAMONDS SHOWERED DOWN FROM AL SIDES
THEY SANG THE SAME TUNES AT EACH PARTY,THEY SING THE SAME TUNES AT EACH PARTY
THE SKY AND THE WEST IS TINGED WITH ORANGE RED,THE SKY IN THE WEST IS TINGED WITH ORANGE RED
THE PODS OF PEACE FERMENT IN BARE FIELDS,THE PODS OF PEASE FERMENT IN BARE FIELDS
THE HORSE BALKED AND THREW THE TALL RIDER,THE HORSE BALKED AND THREW THE TAL RIDER
THE HITCH BETWEEN THE HORSE AND CART BROKE,THE HITCH BETWEN THE HORSE AND CART BROKE
PILE THE COAL HIGH IN THE SHED CORNER,PILE THE COAL HIE IN THE SHED CORNER
A GOLD VASE IS BOTH RARE AND COSTLY,A GOLD VASE IS BOTH RARE AND COSTLY
THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH,THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH
THE RAREST SPICE COMES FROM THE FAR EAST,THE RAREST SPICE COMES FROM THE FAR EAST
THE ROOF SHOULD BE TILTED AT A SHARP SLANT,THE ROF SHOULD BE TILTED AT A SHARP SLANT
A SMATTER OF FRENCH IS WORSE THAN NONE,A SMATER OF FRENCH IS WORSE THAN NONE
THE MULE TROD THE TREADMILL DAY AND NIGHT,THE MULE TROD THE TREADMIL DAY AND NIGHT
THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND,THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND
TO SEND IT NOW IN LARGE AMOUNTS IS BAD,TO SEND IT NOW IN LARGE AMOUNTS IS BAD
THERE IS A FINE HARD TANG IN SALTY AIR,THERE IS A FINE HARDTANGIN SALTAR
COD IS THE MAIN BUSINESS OF THE NORTH SHORE,COT IS THE MAIN BUSINES OF THE NORTH SHORE
THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE,THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE
DUNK THE STALE BISCUITS INTO STRONG DRINK,DUNK THE STALE BISCUITS INTO STRONG DRINK
HANG TINSEL FROM BOTH BRANCHES,HANG TINSEL FROM BOTH BRANCHES
CAMP THE JAR WITH A TIGHT BRASS COVER,CAP THE JAR WITH A TIGHT BREAS COVER
THE POOR BOY MISSED THE BOAT AGAIN,THE POR BOY MISED THE BOAT AGAIN
BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE,BE SURE TO SET THA LAMP FIRMLY IN THE HOLE
PICK A CARD AND SLIP IT UNDER THE PACK,PICK A CARD AND SLIP IT UNDER THE PACK
A ROUND MAT WILL COVER THE DULL SPOT,A ROUND MAT WIL COVER THE DUL SPOT
THE FIRST PART OF THE PLAN NEEDS CHANGING,THE FIRST PART OF THE PLAN NEDS CHANGING
A GOOD BOOK IN FORMS OF WHAT WE OUGHT TO KNOW,A GOD BOK INFORMS OF WHAT WE OUGHT TO KNOW
THE MAIL COMES IN THREE BATCHES PER DAY,THE MAIL COMES IN THRE BATCHES PER DAY
YOU CANNOT BREW TEA IN A COLD POT,YOU CANOT BRUTE IN A COLD POT
DOTS OF LIGHT BETRAYED THE BLACK CAT,DOTS OF LIGHT BETRAYED THE BLACK CAT
PUT THE CHART ON THE MANTEL AND TACK IT DOWN,PUT THE CHART ON THE MANTELE AND TACK IT DOWN
THE NIGHT SHIFT MEN RATE EXTRA PAY,THE NIGHT SHIFT MEN RATE EXTRA PAY
THE RED PAPER BRIGHTENED THE DIM STAGE,THE RED PAPER BRIGHTENED THE DIM STAGE
SEE THE PLAYER SCOOT TO THIRD BASE,SE THE PLAYER SCOEWED TO THIRD BASE
SLIDE THE BILL BETWEEN THE TWO LEAVES,SLIDE THE BIL BETWEN THE TWO LEAVES
MANY HANDS HELP GET THE JOB DONE,MANY HANDS HELP GET THE JOB DONE
WE DON'T LIKE TO ADMIT OUR SMALL FAULTS,WE DON'T LIKE TO ADMIT OUR SMAL FAULTS
NO DOUBT ABOUT THE WAY THE WIND BLOWS,NO DOUBT ABOUT THE WAY THE WIND BLOWS
DIG DEEP IN THE EARTH FOR PIRATE'S GOLD,DIG DEP IN THE EARTH FOR PIRATES GOLD
THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN,THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN
A FLAT PACK TAKES LESS LUGGAGE SPACE,A FLAT PACK TAKES LES LUGAGE SPACE
GREEN ICE FROSTED THE PUNCH BOWL,GREN ICE FROSTED THE PUNCH BOWL
A STUFF CHAIR SLIPPED FROM THE MOVING VAN,A STUFED CHAIR SLIPED FROM THE MOVING VAN
THE STITCH WILL SERVE BUT NEEDS TO BE SHORTENED,THE STITCH WIL SERVE BUT NEDS TO BE SHORTENED
A THIN BOOK FITS IN THE SIDE POCKET,A THIN BOK FITS IN THIS SIDE POCKET
THE GLOSS ON TOP MADE IT UNFIT TO READ,THE GLOS ON TOP MADE IT UNFIT TO READ
THE HAIL PATTERED ON THE BURNT BROWN GRASS,THE HAIL PATERED ON THE BURNT BROWN GRAS
SEVEN SEALS WERE STAMPED ON GREAT SHEETS,SEVEN SEALS WERE STAMPED ON GREAT SHETS
OUR TROOPS ARE SET TO STRIKE HEAVY BLOWS,OUR TROPS ARE SET TO STRIKE HEAVY BLOWS
THE STORE WAS JAMMED BEFORE THE SALE COULD START,THE STORE WAS JAMED BEFORE THE SALE COULD START
IT WAS A BAD ERROR ON THE PART OF THE NEW JUDGE,IT WAS A BAD EROR ON THE PART OF THE NEW JUDGE
ONE STEP MORE IN THE BOARD WILL COLLAPSE,ONE STEP MORE AND THE BOARD WIL COLAPSE
TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE,TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE
THE POT BOILED BUT THE CONTENTS FAILED TO JELL,THE POT BOILED BUT THE CONTENTS FAILED TO JOW
THE BABY PUTS HIS RIGHT FOOT IN HIS MOUTH,THE BABY PUTS HIS RIGHT FOT IN HIS MOUTH
THE BOMBS LEFT MOST OF THE TOWN IN RUINS,THE BOMBS LEFT MOST OF THE TOWN IN RUINS
STOP AND STARE AT THE HARD WORKING MAN,STOP AND STARE AT THE HARD WORKING MAN
THE STREETS ARE NARROW AND FULL OF SHARP TURNS,THE STRETS ARE NAROW AND FUL OF SHARP TURNS
THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE,THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE
OPEN YOUR BOOK TO THE FIRST PAGE,OPEN YOUR BOK TO THE FIRST PAGE
FISH EVADE THE NET AND SWIM OFF,FISH EVADE THE NET AND SWIM OF
DIP THE PAIL ONCE AND LET IT SETTLE,DIP THE PAIL ONCE AND LET IT SETLE
WILL YOU PLEASE ANSWER THAT PHONE,WIL YOU PLEASE ANSWER THAT PHONE
THE BIG RED APPLE FELL TO THE GROUND,THE BIG RED APLE FEL TO THE GROUND
THE CURTAIN ROSE AND THE SHOW WAS ON,THE CURTAIN ROSE AND THE SHOW WAS ON
THE YOUNG PRINCE BECAME HEIR TO THE THRONE,THE YOUNG PRINCE BECAME HEIR TO THE THRONE
HE SENT THE BOY ON A SHORT ERRAND,HE SENT THE BOY ON A SHORT ERAND
LEAVE NOW AND YOU WILL ARRIVE ON TIME,LEAVE NOW AND YOU WIL ARIVE ON TIME
THE CORNER STORE WAS ROBBED LAST NIGHT,THE CORNER STORE WAS ROBED LAST NIGHT
A GOLD RING WILL PLEASE MOST ANY GIRL,A GOLD RING WIL PLEASE MOST ANY GIRL
THE LONG JOURNEY HOME TOOK A YEAR,THE LONG JOURNEY HOME TOK A YEAR
SHE SAW A CAT IN THE NEIGHBOR'S HOUSE,SHE SAW A CAT IN THE NEIGHBOR'S HOUSE
A PINK SHELL WAS FOUND ON THE SANDY BEACH,A PINK SHEL WAS FOUND ON THE SANDY BEACH
SMALL CHILDREN CAME TO SEE HIM,SMAL CHILDREN CAME TO SE HIM
THE GRASS AND BUSHES WERE WET WITH DEW,THE GRAS AND BUSHES WERE WET WITH DEW
THE BLIND MAN COUNTED HIS OLD COINS,THE BLIND MAN COUNTED HIS ALD COINS
A SEVERE STORM TORED DOWN THE BARN,A SEVERE STORM TORE DOWN THE BARN
SHE CALLED HIS NAME MANY TIMES,SHE CALED HIS NAME MANY TIMES
WHEN YOU HEAR THE BELL COME QUICKLY,WHEN YOU HEAR THE BEL COME QUICKLY
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS,THE BIRCH CANOE SLID ON THE SMOTH PLANKS
GLUE THE SHEET TO THE DARK BLUE BACKGROUND,GLUE THE SHET TO THE DARK BLUE BACKGROUND
IT'S EASY TO TELL THE DEPTH OF A WELL,IT'S EASY TO TEL THE DEPTH OF A WEL
THESE DAYS A CHICKEN LEG IS A RARE DISH,THESE DAYS E CHICKEN LEK IS A RED DISH
RICE IS OFTEN SERVED IN ROUND BOWLS,RICE IS OFTEN SERVED IN ROUND BOWLS
THE JUICE OF LEMONS MAKES FINE PUNCH,THE JUICE OF LEMONS MAKES FINE PANCH
