transcription,transcription_whisper_base_en
THESE COINS WILL BE NEEDED TO PAY HIS DEBT, These coins will be needed to pay his debt.
THE NAG PULLED THE FRAIL CART ALONG, The nag pulled the frail cart along.
TWIST THE VALVE AND RELEASE HOT STEAM, Twist the valve and release hot steam.
THE VAMP OF THE SHOE HAD A GOLD BUCKLE, The vamp of the shoe had a gold buckle.
THE SMELL OF BURNED RAGS ITCHES MY NOSE, The smell of burned rags such as my nose.
NEW PANTS LACK CUFFS AND POCKETS, New pant slot cuffs and pockets
THE MARSH WILL FREEZE WHEN COLD ENOUGH, The marsh will freeze when cold enough.
THEY SLICE THE SAUSAGE THIN WITH A KNIFE, Face ice the sausage then with a knife.
THE BLOOM OF THE ROSE LASTS A FEW DAYS, The Bloom of the Rose lasts a few days.
A GREY MARE WALKED BEFORE THE COLT, A gray mirror walked before the cold.
BREAKFAST BUNS ARE FINE WITH A HOT DRINK, Breakfast buns are fine with a hot drink.
BOTTLES HOLD FOUR KINDS OF RUM, Bottles hold four kinds of rum.
THE MAN WORE A FEATHER IN HIS FELT HAT, The man wore a feather in his felt hat.
HE WHEELED THE BIKE PAST THE WINDING ROAD, He wheeled the bike past the winding road.
DROP THE ASHES ON THE WORN OLD RUG, Drop the ashes on the worn old rock.
THE DESK AND BOTH CHAIRS WERE PAINTED TAN, The desk and both chairs were painted down.
THROW OUT THE USED PAPER CUP AND PLATE, Throw out the used paper cup in plate.
A CLEAN NECK MEANS A NEAT COLLAR, A clean neck means a neat collar.
THE COUCH COVER AND HALL DRAPES WERE BLUE, The couch cover and hall drapes were blue.
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE, The stems of the tall glazes cracked and broke.
THE WALL PHONE RANG LOUD AND OFTEN, The wall phone rang loud and often.
THE CLOTHES DRIED ON A THIN WOODEN RACK, The clothes dried on a thin wooden rack.
TURN OUT THE LANTERN WHICH GIVES US LIGHT, Turn out the lantern which gives a slight.
THE CLEAT SANK DEEPLY INTO THE SOFT TURF, The cleat sink deeply into the soft turf.
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH, The bills were mailed promptly on the 10th of the month.
TO HAVE IS BETTER THAN TO WAIT AND HOPE, To have is better than to wait and hope.
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK, The price is fair for a good antique clock.
THE MUSIC PLAYED ON WHILE THEY TALKED, The music played on while they talked.
DISPENSE WITH A VEST ON A DAY LIKE THIS, Dispense with a vest on a day like this.
THE BUNCH OF GRAPES WAS PRESSED INTO WINE, The bunch of grapes was pressed into wine.
HE SENT THE FIGS, He sent the fix.
BUT KEPT THE RIPE CHERRIES, But kept the right cherries.
THE HINGE ON THE DOOR CREAKED WITH OLD AGE, The hen John the door creaked with old age.
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS, The screen before the fire kept in the sparks.
FLY BY NIGHT AND YOU WASTE LITTLE TIME, Fly by night and you waste little time.
THICK GLASSES HELPED HIM READ THE PRINT, Thick glasses help them read the print.
BIRTH AND DEATH MARKS THE LIMITS OF LIFE, Birth and death marks the limits of life.
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM, The chair looked strong but had no bottom.
THE KITE FLEW WILDLY IN THE HIGH WIND, The kite flew wildly in the high wind.
A FUR MUFF IS STYLISH ONCE MORE, A firm office stylish once more.
THE TIN BOXS HELD PRICELESS STONES, The Tinbox held priceless stones.
WE NEED AN END OF ALL SUCH MATTER, We need an end of all such matter.
THE CASE WAS PUZZLING TO THE OLD AND WISE, The case was puzzling to the old and wise.
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN, The bright lanterns were gay on the dark lawn.
WE DON'T GET MUCH MONEY BUT WE HAVE FUN," We don't get much money, but we have fun."
THE YOUTH DROVE WITH ZEST, The youth drove with zest.
BUT LITTLE SKILL, But little skill
FIVE YEARS HE LIVED WITH A SHAGGY DOG, Five years he lived with a shaggy dog.
A FENCE CUT THROUGH THE CORNER LOT, a fence cuts through the corner lot.
THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH, The way to save money is not to spend much.
SHUT THE HATCH BEFORE THE WAVES PUSH IT IN, Shut the hatch before the waves push it in.
THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP, The odor of spring makes young hearts jump.
CRACK THE WALNUT WITH YOUR SHARP SIDE TEETH, Crack the walnut with your sharp side teeth.
HE OFFERED PROOF IN THE FORM OF A LARGE CHART, He offered proof in the form of a large chart.
SEND THE STUFF IN A THICK PAPER BAG, Send the stuff in a thick paper bag.
A QUART OF MILK IS WATER FOR THE MOST PART, A quart of milk is water for the most part.
THEY TOLD WILD TALES TO FRIGHTEN HIM, They told Wild Tells to frighten him.
THE THREE STORY HOUSE WAS BUILT OF STONE, The three-story house was built of stone.
IN THE REAR OF THE GROUND FLOOR WAS A LARGE PASSAGE, In the rear of the ground floor was a large passage.
A MAN IN A BLUE SWEATER SAT AT THE DESK, A man in a blue sweater sat at the desk.
OATS ARE A FOOD EATEN BY HORSE AND MAN, Oats are food eaten by horse and man.
THEIR EYELIDS DROOP FOR WANT OF SLEEP, There I lived's droop for one of sleep.
A SIP OF TEA REVIVES HIS TIRED FRIEND, A sip of tea revives his tired friend.
THERE ARE MANY WAYS TO DO THESE THINGS, There are many ways to do these things.
TUCK THE SHEET UNDER THE EDGE OF THE MAT, tack the sheet under the edge of the mat.
A FORCE EQUAL TO THAT WOULD MOVE THE EARTH, A force equal to that would move the earth.
WE LIKE TO SEE CLEAR WEATHER, We like to see clear weather.
THE WORK OF THE TAILOR IS SEEN ON EACH SIDE, The work of the tailor is seen on each side.
TAKE A CHANCE AND WIN A CHINA DOLL, Take a chance and win a China doll.
SHAKE THE DUST FROM YOUR SHOES, Shake the dust from your shoes.
STRANGER, Stranger
SHE WAS KIND TO SICK OLD PEOPLE, She was kind to say called people.
THE SQUARE WOODEN CRATE WAS PACKED TO BE SHIPPED, The square wooden crate was packed to be shipped.
THE DUSTY BENCH STOOD BY THE STONE WALL, The dusty bench stood by the stone wall.
WE DRESS TO SUIT THE WEATHER OF MOST DAYS, We trust to suit the weather of most days.
SMILE WHEN YOU SAY NASTY WORDS, Smile when you say nasty words.
A BOWL OF RICE IS FREE WITH CHICKEN STEW, A bowl of rice is free with chicken stew.
THE WATER IN THIS WELL IS A SOURCE OF GOOD HEALTH, The water in this well is a source of good health.
TAKE SHELTER IN THIS TENT, Take shelter in this tent.
BUT KEEP STILL, But keep still.
THAT GUY IS THE WRITER OF A FEW BANNED BOOKS, That guy is the writer of a few band books.
THE LITTLE TALES THEY TELL ARE FALSE, The little tails they tell are false.
THE DOOR WAS BARRED, The door was barred.
LOOKED, LOCKED
AND BOLTED AS WELL, and bolted as well
RIPE PEARS ARE FIT FOR A QUEEN'S TABLE, Ripe pairs are fit for a Queen's table.
A BIG WET STAIN WAS ON THE ROUND CARPET, A big wet stain was on the round carpet.
THE KITE DIPPED AND SWAYED, The kite dipped and swayed.
BUT STAYED ALOFT, But stayed aloft.
THE PLEASANT HOURS FLY BY MUCH TOO SOON, The pleasant hours fly by much too soon.
THE ROOM WAS CROWDED WITH A WILD MOB, The room was crowded with a wild mob.
THIS STRONG ARM SHALL SHIELD YOUR HONOR, This strong arm shall shield your liner.
SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID, She blushed when he gave her a white orchid.
THE BEETLE DRONED IN THE HOT JUNE SUN, The beetle droned in the hot June sun.
PRESS THE PEDAL WITH YOUR LEFT FOOT, Press the pedal with your left foot
NEAT PLANS FAIL WITHOUT LUCK, Neat plans fail without luck.
THE BLACK TRUNK FELL FROM THE LANDING, The black trunk fell from the landing.
THE BANK PRESSED FOR PAYMENT OF THE DEBT, The bank pressed for payment of the debt.
THE THEFT OF THE PEARL PIN WAS KEPT SECRET, The theft of the pearl pen was kept secret.
SHAKE HANDS WITH THIS FRIENDLY CHILD, Shake hands with this friendly child.
THE VAST SPACE STRETCHED INTO THE FAR DISTANCE, The vast space stretched into the far distance.
A RICH FARM IS RARE IN THIS SANDY WASTE, A rich form is rare in the sandy waste.
HIS WIFE GRIN EARNED MANY FRIENDS, His wide-grinn earned many friends.
FLAX MAKES A FINE BRAND OF PAPER, Flax makes a fine brand of paper.
HURDLE THE PIT WITH THE AID OF A LONG POLE, Hurdle the pit with the aid of a long pole.
A STRONG BID MAY SCARE YOUR PARTNER STIFF, A strong bid may scare your partner stiff.
EVEN A JUST CAUSE NEEDS POWER TO WIN, Even adjust cost needs power to win.
PEEP UNDER THE TENT AND SEE THE CLOWNS, P-ponder the tint and see the clowns.
THE LEAF DRIFTS ALONG WITH A SLOW SPIN, The leaf drifts along with a slow spin.
CHEAP CLOTHES ARE FLASHY BUT DON'T LAST, Cheap clothes are flashy but don't last.
A THING OF SMALL NOTE CAN CAUSE DESPAIR, A thing of small note can cause despair.
FLOOD THE MAILS WITH REQUESTS FOR THIS BOOK, Flood the mails with requests for this book.
A THICK COAT OF BLACK PAINT COVERED ALL, A thick coat of black paint cover doll.
THE PENCIL WAS CUT TO BE SHARP AT BOTH ENDS, The pencil was cut to be sharp at both ends.
THOSE LAST WORDS WERE A STRONG STATEMENT, Those last words were a strong statement.
HE WROTE HIS NAME BOLDLY AT THE TOP OF THE SHEET, He wrote his name boldly at the top of the sheet.
DILL PICKLES ARE SOUR BUT TASTE FINE, Dilpeicles are sour but taste fine.
DOWN THAT ROAD IS THE WAY TO THE GRAIN FARMER, Down that road is the way to the grain farmer.
EITHER MUD OR DUST ARE FOUND AT ALL TIMES, Either mud or dust are found at all times.
THE BEST METHOD IS TO FIX IT IN PLACE WITH CLIPS, The best method is to fix it in place with clips.
IF YOU MUMBLE YOUR SPEECH WILL BE LOST, If you mumble your speech will be lost.
AT NIGHT THE ALARM ROUSED HIM FROM A DEEP SLEEP, At night the alarm roused him from a deep sleep.
READ JUST WHAT THE METER SAYS, Read just what the meter says.
FILL YOUR PACK WITH BRIGHT TRINKETS FOR THE POOR, Fill your pack with bright trinkets for the pour.
THE SMALL RED NEON LAMP WENT OUT, The small red neon lamp went out.
CLAMS A SMALL ROUND SOFT AND TASTY," Clams are small, round, soft, and tasty."
THE FAN WHIRLED ITS ROUND BLADES SOFTLY, The fan rolled its round blade softly.
THE LINE WHERE THE EDGES JOIN WAS CLEAN, The line where the edges join was clean.
BREATHE DEEP AND SMELL THE PINY AIR, Breathe deep and smell the piney air.
IT MATTERS NOT IF HE READS THESE WORDS OR THOSE, It matters not if he reads these words or those.
A BROWN LEATHER BAG HUNG FROM ITS STRAP, A brown leather bag hung from its strap.
HE TOAD AND A FROG ARE HARD TO TELL APART, I toad in the frog art hard to tell apart.
A WHITE SILK JACKET GOES WITH ANY SHOES, A white silk jacket goes with any shoes.
A BREAK IN THE DAM ALMOST CAUSED A FLOOD, A break in the dam almost caused a flood.
PAINT THE SOCKETS IN THE WALL DULL GREEN, Paint the sockets in the Waldol green.
THE CHILD CRAWLED INTO THE DENSE GRASS, The child crawled into the dense grass.
BRIBES FAIL WHERE HONEST MEN WORK, Bribes fell were honest men work.
TRAMPLE THE SPARK, Trimple the spark
ELSE THE FLAMES WILL SPREAD, Else the flames will spread.
THE HILT OF THE SWORD WAS CARVED WITH FINE DESIGNS, The hilt of the sword was carved with fine designs.
A ROUND HOLE WAS DRILLED THROUGH THE THIN BOARD, Around hole was drilled through the thin board.
FOOTPRINTS SHOWED THE PATH HE TOOK UP THE BEACH, Footprints showed the path he took up the beach.
SHE WAS WAITING AT MY FRONT LAWN, She was waiting at my front lawn.
A VENT NEAR THE EDGE BROUGHT IN FRESH AIR, Event near the edge brought in fresh air.
PROD THE OLD MULE WITH A CROOKED STICK, prod the old mule with a crooked stick
IT IS A BAND OF STEEL THREE INCHES WIDE, It is a band of steel 3 inches wide.
THE PIPE RAN ALMOST THE LENGTH OF THE DITCH, The pipe ran almost the length of the ditch.
IT WAS HIDDEN FROM SIGHT BY A MASS OF LEAVES AND SHRUBS, It was hidden from sight by a mass of leaves and shrubs.
THE WEIGHT OF THE PACKAGE WAS SEEN ON THE HIGH SCALE, The weight of the package was seen on the high scale.
WAKE AND RISE, Wake and Rise
AND STEP INTO THE GREEN OUTDOORS, and step into the green outdoors.
THE GREEN LIGHT IN THE BROWN BOX FLICKERED, The green light in the brown box flicker.
THE BRASS TUBE CIRCLED THE HIGH WALL, The brass tube circled the high wall.
THE LOBES OF HER EARS WERE PIERCED TO HOLD RINGS, The lobes of your ears will pierce to hold rings.
HOLD THE HAMMER NEAR THE END TO DRIVE THE NAIL, Hold the hammer near the end to drive the nail.
NEXT SUNDAY IS THE TWELFTH OF THE MONTH, Next Sunday is the 12th of the month.
EVERY WORD IN PHRASE HE SPEAKS IS TRUE, Every word and phrase he speaks is true.
HE PUT HIS LAST CARTRIDGE INTO THE GUN AND FIRED, He put his last cartridge into the gun and fired.
THEY TOOK THEIR KIDS FROM THE PUBLIC SCHOOL, They took their kids from the public school.
DRIVE THE SCREW STRAIGHT INTO THE WOOD, Drive the screw straight into the wood.
KEEP THE HATCH TIGHT ON THE WATCH CONSTANT, Keep the hatch tight and the watch constant.
SEVER THE TWINE WITH A QUICK SNIP OF THE KNIFE, Severe the twine with a quick snip of the knife.
PAPER WILL DRY OUT WHEN WET, Paper will dry out when wet.
SLIDE THE CATCH BACK AND OPEN THE DESK, Slide the catch back and open the desk.
HELP THE WEAK TO PRESERVE THEIR STRENGTH, Help the weak to preserve their strength.
A SULLEN SMILE GETS FEW FRIENDS, A sullen smile gets few friends.
STOP WHISTLING AND WATCH THE BOYS MARCH, Stop whistling and watch the boys march.
JERK THE CORD, jerk the cord
AND OUT TUMBLES THE GOLD, End out tumbles the gold.
SLIDE THE TRAY ACROSS THE GLASS TOP, Slide the tray across the glass top.
THE CLOUD MOVED IN A STATELY WAY AND WAS GONE, The cloud moved in a stately way and was gone.
LIGHT MAPLE MAKES FOR A SWELL ROOM, Light maple makes for a small room.
SET THE PEACE HERE AND SAY NOTHING, Set the piece here and see nothing.
DULL STORIES MAKE HER LAUGH, Del's stories make her laugh.
A STIFF CORD WILL DO TO FASTEN YOUR SHOE, A stiff cord will do to fasten your shoe.
GET THE TRUST FUND TO THE BANK EARLY, Get the trust fund to the bank early.
CHOOSE BETWEEN THE HIGH ROAD AND THE LOW, Choose between the high road and the low.
A PLEA FOR FUNDS SEEMS TO COME AGAIN, A plea for funds seems to come again.
HE LENT HIS COAT TO THE TALL GAUNT STRANGER, He lent his coat to the tall gaunt stranger.
THERE IS A STRONG CHANCE IT WILL HAPPEN ONCE MORE, There is a strong chance it will happen once more.
THE DUKE LEFT THE PARK IN A SILVER COACH, The Duke left the park in a silver coach.
GREET THE NEW GUESTS AND LEAVE QUICKLY, Greet the new guests and leave quickly.
WHEN THE FROST HAS COME IT IS TIME FOR TURKEY, When the frost has come it is time for turkey.
SWEET WORDS WORK BETTER THAN FIERCE, Sweet words work better than fierce.
A THIN STRIPE RUNS DOWN THE MIDDLE, A thin stripe runs down the middle.
A SIX COMES UP MORE OFTEN THAN A TEN, A 6 comes up more often than a 10.
LUSH FERN GROW ON THE LOFTY ROCKS, Lush friends grow on the lofty rocks.
THE RAM SCARED THE SCHOOL CHILDREN OFF, The Rams scared the school children off.
THE TEAM WITH THE BEST TIMING LOOKS GOOD, The team with the best timing looks good.
THE FARMER SWAPPED HIS HORSE FOR A BROWN OX, The farmer swapped his horse for a brown ox.
SIT ON THE PERCH AND TELL THE OTHERS WHAT TO DO, Sit on the perch and tell the others what to do.
A STEEP TRAIL IS PAINFUL FOR OUR FEET, A steep trail is painful for our feet.
THE EARLY PHASE OF LIFE MOVES FAST, The early phase of life moves fast.
GREEN MOSS GROWS ON THE NORTHERN SIDE, Green moss grows on the northern side.
TEA IN THIN CHINA HAS A SWEET TASTE, Tea and Finch China has a sweet taste.
PITCH THE STRAW THROUGH THE DOOR OF THE STABLE, Pitch the straw through the door of the stable.
THE LATCH ON THE BACK GATE NEEDED A NAIL, The latch on the back gate needed a nail.
THE GOOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET, The goose was brought straight from the old market.
THE SINK IS THE THING IN WHICH WE PILE DISHES, The sink is the thing in which we buy all dishes.
A WHIFF OF IT WILL CURE THE MOST STUBBORN COLD, A whiff of it will cure the most stubborn cold.
THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT, The facts don't always show who is right.
SHE FLAPS HER CAPE AS SHE PARADES THE STREET, She flaps her cape as she braves the street.
THE LOSS OF THE CRUISER WAS A BLOW TO THE FLEET, The loss of the cruiser was a blow to the fleet.
LOOP THE BRAID TO THE LEFT AND THEN OVER, Loop the braid to the left and then over.
PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE, plead with the lawyer to drop the lost cause
CALVES THRIVE ON TENDER SPRING GRASS, Calf's Thrive on Tender Spring Grass
POST NO BILLS ON THIS OFFICE WALL, Post no bills on this office wall.
TEAR A THIN SHEET FROM THE YELLOW PAD, Tarith and Sheet from the Yellow Pad
A CRUISE IN WARM WATERS IN A SLEEK YACHT IS FUN, A cruise in warm waters in a sleek yacht is fun.
A STREAK OF COLOR RAN DOWN THE LEFT EDGE, A streak of color ran down the left edge.
IT WAS DONE BEFORE THE BOY COULD SEE IT, It was done before the boy could see it.
CROUCH BEFORE YOU JUMP OR MISS THE MARK," Crouch before you, John poor Minnese, the mark."
PACK THE KITS AND DON'T FORGET THE SALT, Pack the kits and don't forget the salt.
THE SQUARE PEG WILL SETTLE IN THE ROUND HOLE, The square peck will settle in the round hole.
FINE SOAP SAVES TENDER SKIN, Find soap saves to your skin.
POACHED EGGS AND TEA MUST SUFFICE, Poached eggs and teamus suffice.
BAD NERVES ARE JANGLED BY A DOOR SLAM, That nerves are jangled by a door slam.
SHIP MAPS ARE DIFFERENT FROM THOSE FOR PLANES, Ship maps are different from those for planes.
DIMES SHOWERED DOWN FROM ALL SIDES, Dimes showered down from all sides.
THEY SANG THE SAME TUNES AT EACH PARTY, Facing the same tunes at each party.
THE SKY AND THE WEST IS TINGED WITH ORANGE RED, The sky in the west is changed with orange red.
THE PODS OF PEACE FERMENT IN BARE FIELDS, The pods of peace ferment in bare fields.
THE HORSE BALKED AND THREW THE TALL RIDER, The horse balked and threw the tall rider.
THE HITCH BETWEEN THE HORSE AND CART BROKE, The hitch between the horse and cart broke.
PILE THE COAL HIGH IN THE SHED CORNER, Power the core high in the shed corner
A GOLD VASE IS BOTH RARE AND COSTLY, A gold base is both rare and costly.
THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH, The knife was hung inside its bright sheath.
THE RAREST SPICE COMES FROM THE FAR EAST, The rarest spice comes from the Far East.
THE ROOF SHOULD BE TILTED AT A SHARP SLANT, The roof should be tilted at a sharp slant.
A SMATTER OF FRENCH IS WORSE THAN NONE, A smatter of French is worse than none.
THE MULE TROD THE TREADMILL DAY AND NIGHT, The mule tried the treadmill day and night.
THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND, The aim of the contest is to raise a great fund.
TO SEND IT NOW IN LARGE AMOUNTS IS BAD, To send it now in large amounts is bad.
THERE IS A FINE HARD TANG IN SALTY AIR, There is a fine hard-taken salty air.
COD IS THE MAIN BUSINESS OF THE NORTH SHORE, Caught is the main business of the North Shore.
THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE, The slab was hewn from heavy blocks of slate.
DUNK THE STALE BISCUITS INTO STRONG DRINK, Dunk the stale biscuits into strong drink
HANG TINSEL FROM BOTH BRANCHES, Hang tinsel from both branches.
CAMP THE JAR WITH A TIGHT BRASS COVER, Cap the jar with a tight brass cover
THE POOR BOY MISSED THE BOAT AGAIN, The poor boy missed the boat again.
BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE, Be sure to set that lamp firmly in the hole.
PICK A CARD AND SLIP IT UNDER THE PACK, Pick a card and slip it under the pack.
A ROUND MAT WILL COVER THE DULL SPOT, Around that will cover the dull spot.
THE FIRST PART OF THE PLAN NEEDS CHANGING, The first part of the plan needs changing.
A GOOD BOOK IN FORMS OF WHAT WE OUGHT TO KNOW, A good book informs of what we ought to know.
THE MAIL COMES IN THREE BATCHES PER DAY, The mail comes in 3 batches per day.
YOU CANNOT BREW TEA IN A COLD POT, You cannot brew tea in a cold pot.
DOTS OF LIGHT BETRAYED THE BLACK CAT, Dots of light betrayed the black cat.
PUT THE CHART ON THE MANTEL AND TACK IT DOWN, Put the chart on the mantle and tack it down.
THE NIGHT SHIFT MEN RATE EXTRA PAY, The night shift men rate extra pay.
THE RED PAPER BRIGHTENED THE DIM STAGE, The red paper brightened the dim stage.
SEE THE PLAYER SCOOT TO THIRD BASE, See the player's goo to third base.
SLIDE THE BILL BETWEEN THE TWO LEAVES, Slide the build between the two leaves.
MANY HANDS HELP GET THE JOB DONE, Many hands help get the job done.
WE DON'T LIKE TO ADMIT OUR SMALL FAULTS, We don't like to admit our small faults.
NO DOUBT ABOUT THE WAY THE WIND BLOWS, No doubt about the way the wind blows.
DIG DEEP IN THE EARTH FOR PIRATE'S GOLD, Dig deep in the Earth for pirates gold.
THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN, The steady drip is worse than a drenching rain.
A FLAT PACK TAKES LESS LUGGAGE SPACE, A flat pack takes less luggage space.
GREEN ICE FROSTED THE PUNCH BOWL, Green ice frosted the punch bowl
A STUFF CHAIR SLIPPED FROM THE MOVING VAN, A stuffed chair slipped from the moving van.
THE STITCH WILL SERVE BUT NEEDS TO BE SHORTENED, The stitch will serve but needs to be shortened.
A THIN BOOK FITS IN THE SIDE POCKET, A thin book fits in the side pocket.
THE GLOSS ON TOP MADE IT UNFIT TO READ, The gloss on top made it unfit to read.
THE HAIL PATTERED ON THE BURNT BROWN GRASS, The hail pattered on the burnt brown grass.
SEVEN SEALS WERE STAMPED ON GREAT SHEETS, Seven seals were stamped on great sheets.
OUR TROOPS ARE SET TO STRIKE HEAVY BLOWS, Our troops are set to strike heavy blows.
THE STORE WAS JAMMED BEFORE THE SALE COULD START, The store was jammed before the sale could start.
IT WAS A BAD ERROR ON THE PART OF THE NEW JUDGE, It was a bad error on the part of the new judge.
ONE STEP MORE IN THE BOARD WILL COLLAPSE, One step more and the board will collapse.
TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE, Take the match and strike it against your shoe.
THE POT BOILED BUT THE CONTENTS FAILED TO JELL, The pot boiled but the contents failed to gel.
THE BABY PUTS HIS RIGHT FOOT IN HIS MOUTH, The baby puts his right foot in his mouth.
THE BOMBS LEFT MOST OF THE TOWN IN RUINS, The bombs left most of the town in ruins.
STOP AND STARE AT THE HARD WORKING MAN, Stop and stare at the hardworking man.
THE STREETS ARE NARROW AND FULL OF SHARP TURNS, The streets are narrow and full of sharp turns.
THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE, The pup jerked the leash as he saw a feline shape.
OPEN YOUR BOOK TO THE FIRST PAGE, Open your book to the first page.
FISH EVADE THE NET AND SWIM OFF, Vitiate the nut and swim off.
DIP THE PAIL ONCE AND LET IT SETTLE, Dip the pale ones and let it settle.
WILL YOU PLEASE ANSWER THAT PHONE, Will you please answer that phone?
THE BIG RED APPLE FELL TO THE GROUND, The big red apple fell to the ground.
THE CURTAIN ROSE AND THE SHOW WAS ON, The curtain rose and the show was on.
THE YOUNG PRINCE BECAME HEIR TO THE THRONE, The young prince became heir to the throne.
HE SENT THE BOY ON A SHORT ERRAND, He sent the boy on a short errand.
LEAVE NOW AND YOU WILL ARRIVE ON TIME, Leave now and you will arrive on time.
THE CORNER STORE WAS ROBBED LAST NIGHT, The corner store was robbed last night.
A GOLD RING WILL PLEASE MOST ANY GIRL, A gold ring won't please most any girl.
THE LONG JOURNEY HOME TOOK A YEAR, The long journey home took a year.
SHE SAW A CAT IN THE NEIGHBOR'S HOUSE, She saw a cat in the neighbor's house.
A PINK SHELL WAS FOUND ON THE SANDY BEACH, A pink shell was found on the sandy beach.
SMALL CHILDREN CAME TO SEE HIM, Small children came to see him.
THE GRASS AND BUSHES WERE WET WITH DEW, The grass and bushes were wet with dew.
THE BLIND MAN COUNTED HIS OLD COINS, The blind man counted his old coins.
A SEVERE STORM TORED DOWN THE BARN, A severe storm tore down the barn.
SHE CALLED HIS NAME MANY TIMES, She called his name many times.
WHEN YOU HEAR THE BELL COME QUICKLY, When you hear the bell come quickly.
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS, The birch can easily run the smooth planks.
GLUE THE SHEET TO THE DARK BLUE BACKGROUND, Glue the sheet to the dark blue background.
IT'S EASY TO TELL THE DEPTH OF A WELL, It's easy to tell the depth of a well.
THESE DAYS A CHICKEN LEG IS A RARE DISH, These days a chicken leg is a red dish.
RICE IS OFTEN SERVED IN ROUND BOWLS, Mice is often served in round bowls.
THE JUICE OF LEMONS MAKES FINE PUNCH, The juice of lemons makes fine punch.
THE BOX WAS THROWN BESIDE THE PARKED TRUCK, The box was thrown beside the park truck.
THE HOGS WERE FED CHOPPED CORN AND GARBAGE, The Hulks were fed chopped corn and garbage.
FOUR HOURS OF STEADY WORK FACED US, 4 hours of steady work face toss
A LARGE SIZE AND STOCKINGS IS HARD TO SELL, A large size in stockings is hard to sell.
THE BOY WAS THERE WHEN THE SUN ROSE, The boy was there when the sun rose.
A ROD IS USED TO CATCH PINK SALMON, I rod is used to catch pink salmon.
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING, The source of the huge river is the clear spring.
KICK THE BALL STRAIGHT AND FOLLOW THROUGH, Keep the ball straight and follow through.
HELP THE WOMAN GET BACK TO HER FEET, Help the woman get back to her feet.
A POT OF TEA HELPS TO PASS THE EVENING, A part of tea helps to pass the evening.
SMOKY FIRES LACK FLAME AND HEAT, Smokey fires lack flame and heat
THE SOFT CUSHION BROKE THE MAN'S FALL, The soft cushion broke the man's fall.
THE SALT BREEZE CAME ACROSS FROM THE SEA, The salt breeze came across from the sea.
THE GIRL AT THE BOOTH SOLD FIFTY BONDS, The girl at the piece sold 50 pons.
THE SMALL PUP GNAWED A HOLE IN THE SACK, the small pop norda hole in the sock
THE FISH TWISTED AND TURNED ON THE BENT HOOK, The fish twisted and turned on the bent hook.
PRESS THE PANTS AND SEW BUTTON ON THE VEST, Press the pants and sew a button on the vest.
THE SWAN DIVE WAS FAR SHORT OF PERFECT, This one dive was far short of perfect.
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY, The beauty of the views done the young boy.
TWO BLUE FISH SWAM IN THE TANK, 2 blue fish swam in the tank
HER PURSE WAS FULL OF USELESS TRASH, Her purse was full of useless trash.
THE COLT REARED AND THREW THE TALL RIDER, The colt we'd end through the tall rider.
IT SNOWED, It's Nard
RAINED, Rained
AND HAILED THE SAME MORNING, and hailed this same morning.
READ VERSE OUT LOUD FOR PLEASURE, Read verse out loud for pleasure
HOIST THE LOAD TO YOUR LEFT SHOULDER, Place the light to your left shoulder
TAKE THE WINDING PATH TO REACH THE LAKE, Take the winding part to reach the lake.
NOTE CLOSELY THE SIZE OF THE GAS TANK, Note closely the size of the gas tank.
WIPE THE GREASE OFF HIS DIRTY FACE, Wipe the grease off his dirty face.
MEND THE COAT BEFORE YOU GO OUT, mend the coat before you go out
THE WRIST WAS BADLY STRAINED AND HUNG LIMP, The wrist was badly strained and hung limp.
THE STRAY CAT GAVE BIRTH TO KITTENS, The stray cat gave birth to cutons.
THE YOUNG GIRL GAVE NO CLEAR RESPONSE, The young girl gave no clear response.
THE MEAL WAS COOKED BEFORE THE BELL RANG, The mail was cooked before the bell rang.
WHAT JOY THERE IS IN LIVING, What joy there is in living.
A KING RULED THE STATE IN THE EARLY DAYS, I king ruled the state in the early days.
THE SHIP WAS TORN APART ON THE SHARP REEF, The ship was torn apart on the sharp reef.
SICKNESS KEPT HIM HOME THE THIRD WEEK, Sydney's kept him home the third week.
