transcription,transcription_wav2vec2
LUSH FERN GROW ON THE LOFTY ROCKS,LUSH FERNS GROW ON THE LOFTY ROCKS
THE RAM SCARED THE SCHOOL CHILDREN OFF,THE RAM SCARED THE SCHOL CHILDREN OF
THE TEAM WITH THE BEST TIMING LOOKS GOOD,THE TEAM WITH THE BEST TIMING LOKS GOD
THE FARMER SWAPPED HIS HORSE FOR A BROWN OX,THE FARMER SWAPED HIS HORSE FOR A BROWN OX
SIT ON THE PERCH AND TELL THE OTHERS WHAT TO DO,SIT ON THE PERCH AND TEL THE OTHERS WHAT TO DO
A STEEP TRAIL IS PAINFUL FOR OUR FEET,A STEP TRAIL IS PAINFUL FOR OUR FET
THE EARLY PHASE OF LIFE MOVES FAST,THE EARLY PHASE OF LIFE MOVES FAST
GREEN MOSS GROWS ON THE NORTHERN SIDE,GREN MOS GROVES ON THE NORTHERN SIDE
TEA IN THIN CHINA HAS A SWEET TASTE,TEA IN FIN CHINA HAS A SWET TASTE
PITCH THE STRAW THROUGH THE DOOR OF THE STABLE,PITCH THE STRAW THROUGH THE DOR OF THE STABLE
THE LATCH ON THE BACK GATE NEEDED A NAIL,THE LASH ON THE BACK GATE NEDED A NAIL
THE GOOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET,THE GOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET
THE SINK IS THE THING IN WHICH WE PILE DISHES,THE SINK IS THE THING IN WHICH WE BUILE DISHES
A WHIFF OF IT WILL CURE THE MOST STUBBORN COLD,A WHIF OF IT WIL CURE THE MOST STUBORN COLD
THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT,THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT
SHE FLAPS HER CAPE AS SHE PARADES THE STREET,SHE FLAPS HER CAPE AS SHE BARADES THE STRET
THE LOSS OF THE CRUISER WAS A BLOW TO THE FLEET,THE LOS OF THE CRUISER WAS A BLOW TO THE FLET
LOOP THE BRAID TO THE LEFT AND THEN OVER,LOP THE BRAID TO THE LEFT AND THE NOVER
PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE,PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE
CALVES THRIVE ON TENDER SPRING GRASS,CALFS THRIVE ON TINDER SPRING GRAS
POST NO BILLS ON THIS OFFICE WALL,POST SNOW BILS ON THIS OFICE WAL
TEAR A THIN SHEET FROM THE YELLOW PAD,TEARETHIN SHET FROM THE YELOW PAD
A CRUISE IN WARM WATERS IN A SLEEK YACHT IS FUN,A CRUISE IN WARM WATERS IN A SLE CURAT IS FUN
A STREAK OF COLOR RAN DOWN THE LEFT EDGE,A STREAK OF COLOR RAN DOWN THE LEFT HUDGE
IT WAS DONE BEFORE THE BOY COULD SEE IT,IT WAS DONE BEFORE THE BOY COULD SE IT
CROUCH BEFORE YOU JUMP OR MISS THE MARK,CROUCH BEFORE YOU JOHN POR MENACE THE MARK
PACK THE KITS AND DON'T FORGET THE SALT,PACK THE KITS AND DON'T FORGET THE SALT
THE SQUARE PEG WILL SETTLE IN THE ROUND HOLE,THE SQUARE BRECK WIL SETLE IN THE ROUND WHOLE
FINE SOAP SAVES TENDER SKIN,FINE SOAP SAVES TINDER SKIN
POACHED EGGS AND TEA MUST SUFFICE,PROACHED EGS AND TIMUS SUFICE
BAD NERVES ARE JANGLED BY A DOOR SLAM,BAD NERVES ARE JANGLED BY A DOR SLAM
SHIP MAPS ARE DIFFERENT FROM THOSE FOR PLANES,SHIP MAPS ARE DIFERENT FROM THOSE FOR PLANS
DIMES SHOWERED DOWN FROM ALL SIDES,DIMES SHOWER DOWN FROM AL SIDES
THEY SANG THE SAME TUNES AT EACH PARTY,THEY SING THE SAME TUNES AT EACH PARTY
THE SKY AND THE WEST IS TINGED WITH ORANGE RED,THE SKY IN THE WIST IS TINCHED WITH ORANGE DRAD
THE PODS OF PEACE FERMENT IN BARE FIELDS,THE BODS OF PEASE FERMENT AND BARE FIELDS
THE HORSE BALKED AND THREW THE TALL RIDER,THE HORSE BALKED AND THROUGH THE TAL RIDER
THE HITCH BETWEEN THE HORSE AND CART BROKE,THE HEDGE BETWEN THE HORSE AND CART BROGE
PILE THE COAL HIGH IN THE SHED CORNER,PILE THE COLHIH IN THE SHED CORNER
A GOLD VASE IS BOTH RARE AND COSTLY,A GOLD VASE IS BOTH RARE AND COSTLY
THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH,THE KNIFE WAS HUNG IN SIDE ITS BRIGHT SHEATH
THE RAREST SPICE COMES FROM THE FAR EAST,THE RAREST SPICE COMES FROM THE FAR EAST
THE ROOF SHOULD BE TILTED AT A SHARP SLANT,THE ROF SHOULD BE TILTED AT A SHARP SLANT
A SMATTER OF FRENCH IS WORSE THAN NONE,A SMATER OF FRENCH IS WORSE THAN NON
THE MULE TROD THE TREADMILL DAY AND NIGHT,THE MULE TROD THE TREADMIL DAY AND NIGHT
THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND,THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND
TO SEND IT NOW IN LARGE AMOUNTS IS BAD,TO SEND IT NOW ENLARGE AMOUNTS IS BAD
THERE IS A FINE HARD TANG IN SALTY AIR,THERE IS A FINE HARD TANEIN SALTIAIR
COD IS THE MAIN BUSINESS OF THE NORTH SHORE,COT IS THE MAIN BUSINES OF THE NORTH SHORE
THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE,THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE
DUNK THE STALE BISCUITS INTO STRONG DRINK,DUNGFA STILE BISCUITS INTO STRONG DRINK
HANG TINSEL FROM BOTH BRANCHES,HANG TENSIL FROM BOTH BRANCHES
CAMP THE JAR WITH A TIGHT BRASS COVER,CAP THE JAR WITH A TIGHT BREAST COVER
THE POOR BOY MISSED THE BOAT AGAIN,THE POR BOY MISED THE BOAT AGAIN
BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE,BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE
PICK A CARD AND SLIP IT UNDER THE PACK,PICK A CARD AND SLIP IT UNDER THE PACK
A ROUND MAT WILL COVER THE DULL SPOT,A ROUND MAT WIL COVER THE DUL SPOT
THE FIRST PART OF THE PLAN NEEDS CHANGING,THE FIRST PART OF THE PLAN NEDS CHANGING
A GOOD BOOK IN FORMS OF WHAT WE OUGHT TO KNOW,A GOD BOK IN FORMS OF WHAT WE AGHT TO KNOW
THE MAIL COMES IN THREE BATCHES PER DAY,THE MAL COMES IN THRE BATCHES PER DAY
YOU CANNOT BREW TEA IN A COLD POT,YOU CANOT BRUTY IN A COLD POT
DOTS OF LIGHT BETRAYED THE BLACK CAT,DOTS OF WHITE BETRAYED THE BLACK CAT
PUT THE CHART ON THE MANTEL AND TACK IT DOWN,PUT THE CHART ON THE MANTLE AND TACK IT DOWN
THE NIGHT SHIFT MEN RATE EXTRA PAY,THE NIGHT SHIFT MEN RATE AXTRA PAY
THE RED PAPER BRIGHTENED THE DIM STAGE,THE RED PAPER BRIGHTENED THE DIM STAGE
SEE THE PLAYER SCOOT TO THIRD BASE,SE THE PLAYERSCU TO THIRD BASE
SLIDE THE BILL BETWEEN THE TWO LEAVES,SLIDE THE BIL BETWEN THE TWO LEAVES
MANY HANDS HELP GET THE JOB DONE,MANY HANDS HELP GET THE JOB DONE
WE DON'T LIKE TO ADMIT OUR SMALL FAULTS,WE DON'T LIKE TO ADMIT OUR SMAL FAULTS
NO DOUBT ABOUT THE WAY THE WIND BLOWS,NO DOUBT ABOUT THE WAY THE WIND BLOWS
DIG DEEP IN THE EARTH FOR PIRATE'S GOLD,DIG DEP IN THE EARTH FOR PIRATES GOLD
THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN,THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN
A FLAT PACK TAKES LESS LUGGAGE SPACE,A FLY PACK TAKES LES LUGAGE SPACE
GREEN ICE FROSTED THE PUNCH BOWL,GREN ICE FROSTED THE PUNCH BOWL
A STUFF CHAIR SLIPPED FROM THE MOVING VAN,A STUFED CHAIR SLIPED FROM THE MOVING VAN
THE STITCH WILL SERVE BUT NEEDS TO BE SHORTENED,THE STITCH WIL SERVE BUT NEDS TO BE SHORTENED
A THIN BOOK FITS IN THE SIDE POCKET,A THIN BOK FITS IN THIS SIDE POCKET
THE GLOSS ON TOP MADE IT UNFIT TO READ,THE GLOS ON TOP MADE IT UNFIT TO READ
THE HAIL PATTERED ON THE BURNT BROWN GRASS,THE HAIL PATERED ON THE BURNT BROWN GRAS
SEVEN SEALS WERE STAMPED ON GREAT SHEETS,SEVEN SEALS WERE STAMPED ON GREAT SHETS
OUR TROOPS ARE SET TO STRIKE HEAVY BLOWS,OUR TROPS ARE SET TO STRIKE HEAVY BLOWS
THE STORE WAS JAMMED BEFORE THE SALE COULD START,THE STORE WAS JAMED BEFORE THE SAIL COULD START
IT WAS A BAD ERROR ON THE PART OF THE NEW JUDGE,IT WAS A BAD EROR ON THE PART OF THE NEW JUDGE
ONE STEP MORE IN THE BOARD WILL COLLAPSE,ONE STEP MORE AND THE BOART WIL COLAPSE
TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE,TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE
THE POT BOILED BUT THE CONTENTS FAILED TO JELL,THE POT BOILED BUT THE CONTENTS FAILED TO JEL
THE BABY PUTS HIS RIGHT FOOT IN HIS MOUTH,THE BABY PUTS HIS RIGHT FOT IN HIS MOUTH
THE BOMBS LEFT MOST OF THE TOWN IN RUINS,THE BOMBS LEFT MOST OF THE TOWN IN RUINS
STOP AND STARE AT THE HARD WORKING MAN,STOP AND STARE AT THE HARD WORKING MAN
THE STREETS ARE NARROW AND FULL OF SHARP TURNS,THE STRETS ARE NAROW AND FUL OF SHARP TURNS
THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE,THE PULP JERKED THE LEISH AS HE SAW FELINE SHAPE
OPEN YOUR BOOK TO THE FIRST PAGE,OPEN YOUR BOK TO THE FIRST PAGE
FISH EVADE THE NET AND SWIM OFF,FISH EVAYED THE NUT AND SWIM OF
DIP THE PAIL ONCE AND LET IT SETTLE,DIP THE PAIL ONCE AND LET IT SETLE
WILL YOU PLEASE ANSWER THAT PHONE,WIL YOU PLEASE ANSWER THAT PHONE
THE BIG RED APPLE FELL TO THE GROUND,THE BIG RED APLE FEL TO THE GROUND
THE CURTAIN ROSE AND THE SHOW WAS ON,THE CURTAIN ROSE AND THE SHOW WAS ON
THE YOUNG PRINCE BECAME HEIR TO THE THRONE,THE YOUNG PRINCE BECAME HEIR TO THE THRONE
HE SENT THE BOY ON A SHORT ERRAND,HE SENT THE BOY ON A SHORT ERAND
LEAVE NOW AND YOU WILL ARRIVE ON TIME,LEAVE NOW AND YOU WIL ARIVE ON TIME
THE CORNER STORE WAS ROBBED LAST NIGHT,THE CORNER' STORY WAS ROBED LAST NIGHT
A GOLD RING WILL PLEASE MOST ANY GIRL,A GOLD RING WIL PLEASE MOST ANY GIRL
THE LONG JOURNEY HOME TOOK A YEAR,THE LONG JOURNEY HOME TOK A YEAR
SHE SAW A CAT IN THE NEIGHBOR'S HOUSE,SHE SAW A CAT IN THE NEIGHBOUR'S HOUSE
A PINK SHELL WAS FOUND ON THE SANDY BEACH,A PINK SHEL WAS FOUND ON THE SANDY BEACH
SMALL CHILDREN CAME TO SEE HIM,SMAL CHILDREN CAME TO SE HIM
THE GRASS AND BUSHES WERE WET WITH DEW,THE GRAS AND BUSHES WERE WET WITH DEW
THE BLIND MAN COUNTED HIS OLD COINS,THE BLIND MAN COUNTED HIS ALD COINS
A SEVERE STORM TORED DOWN THE BARN,A SEVERE STORM TORE DOWN THE BARN
SHE CALLED HIS NAME MANY TIMES,SHE CALED HIS NAME MANY TIMES
WHEN YOU HEAR THE BELL COME QUICKLY,WHEN YOU HEAR THE BEL COME QUICKLY
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS,THE BIRCH CANOE SLED ON THE SMOTH PLANKS
GLUE THE SHEET TO THE DARK BLUE BACKGROUND,GLEW THE SHET TO THE DOCK BLUE BACK GROUND
IT'S EASY TO TELL THE DEPTH OF A WELL,IT'S EASY TO TEL THE DEPTH OF A WEL
THESE DAYS A CHICKEN LEG IS A RARE DISH,THESE DAYS THE CHECKING LEG IS A RED DISH
RICE IS OFTEN SERVED IN ROUND BOWLS,RICE IS OFTEN SERVED IN ROUND BALS
THE JUICE OF LEMONS MAKES FINE PUNCH,THE JUICE OF LAMONS MAKES FINE PONGE
THE BOX WAS THROWN BESIDE THE PARKED TRUCK,THE BOX WAS TRAWIN BESIDE THE PAT TROCK
THE HOGS WERE FED CHOPPED CORN AND GARBAGE,THE HOGS WERE FED CHOT CORNER AND GARBIGE
FOUR HOURS OF STEADY WORK FACED US,FOUR HOURS OF STEADY WORK FACE TAS
A LARGE SIZE AND STOCKINGS IS HARD TO SELL,A LARGE SIZE IN STOCKINGS IS HARD TO SEL
THE BOY WAS THERE WHEN THE SUN ROSE,THE BOY WAS THERE WHEN THE SUN ROSE
A ROD IS USED TO CATCH PINK SALMON,ARODIS USED TO CATCH PINK SELMON
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING,THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING
KICK THE BALL STRAIGHT AND FOLLOW THROUGH,KEP THE BUL STRAIGHT AND FOLOW THROUGH
HELP THE WOMAN GET BACK TO HER FEET,HELP THE WOMAN GET BACK TO HER FATE
A POT OF TEA HELPS TO PASS THE EVENING,A PORT OF T HELPS TO PAS THE EVENING
SMOKY FIRES LACK FLAME AND HEAT,SMOKE E FARS LACK FLAME AND HEAT
THE SOFT CUSHION BROKE THE MAN'S FALL,THE SOFT CUSHION BREAK THE MAN'S FOL
THE SALT BREEZE CAME ACROSS FROM THE SEA,THE SALT BRAYS CAME ACROS FROM THE SEA
THE GIRL AT THE BOOTH SOLD FIFTY BONDS,THE GIRL AD THE BREATHS OD FIFTY BONDS
THE SMALL PUP GNAWED A HOLE IN THE SACK,THE SMAL PAUPNODO HOLE IN THE SULK
THE FISH TWISTED AND TURNED ON THE BENT HOOK,THE FISH TWISTED AND TURNED ON THE BENT HAWK
PRESS THE PANTS AND SEW BUTTON ON THE VEST,PRISE THE PANTS AND SEW A BOTON ON THE VIST
THE SWAN DIVE WAS FAR SHORT OF PERFECT,THE SWAN DIVE WAS FAR SHORT OF PERFECT
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY,THE BEAUTY OF THE VIEWSTANE YOUNG BOY
TWO BLUE FISH SWAM IN THE TANK,TWO BLUE FISH SWAM IN THE TANK
HER PURSE WAS FULL OF USELESS TRASH,HER PURSE WAS FUL OF USELES DRASH
THE COLT REARED AND THREW THE TALL RIDER,THE COLT READAN THROUGH THE TOL RIDO
IT SNOWED,EIGHT SNARED
RAINED,RINED
AND HAILED THE SAME MORNING,AND HAILED THE SAME MORNING
READ VERSE OUT LOUD FOR PLEASURE,READ VERSE OUT LOUD FOR PLEASURE
HOIST THE LOAD TO YOUR LEFT SHOULDER,WAISTE THE LED TO YOUR LEFT SHOULDER
TAKE THE WINDING PATH TO REACH THE LAKE,TAKE THE WINDING POTH TO REACH THE LAKE
NOTE CLOSELY THE SIZE OF THE GAS TANK,NOGT CLOSELY THE SIZES OF THE GAS ANK
WIPE THE GREASE OFF HIS DIRTY FACE,WIPE THE GREASE OF HIS DIRTY FACE
MEND THE COAT BEFORE YOU GO OUT,MEND THE COAT BEFORE YOU GO OUT
THE WRIST WAS BADLY STRAINED AND HUNG LIMP,THE WRIST WAS BADLY STRAINED AND HUNG LIMP
THE STRAY CAT GAVE BIRTH TO KITTENS,THE STRAY CAT GAVE BIRTH TO QUITANS
THE YOUNG GIRL GAVE NO CLEAR RESPONSE,THE YOUNG GIRL GAVE NO CLEAR RESPONSE
THE MEAL WAS COOKED BEFORE THE BELL RANG,THE MALE WAS COKED BEFORE THE BEL RANG
WHAT JOY THERE IS IN LIVING,WHAT JOY THERE IS IN LIVING
A KING RULED THE STATE IN THE EARLY DAYS,I KING RULED THE STATE IN THE EARLY DAYS
THE SHIP WAS TORN APART ON THE SHARP REEF,THE SHEP WAS TORN APOT ON THE SHAW PREF
SICKNESS KEPT HIM HOME THE THIRD WEEK,SIGNUS KEPT HIM BEHIND THE THIRD WAKE
THE WIDE ROAD SHIMMERED IN THE HOT SUN,THE WIDE RUID SHEMID IN THE HOT SAN
THE LAZY COW LAY IN THE COOL GRASS,THE LAZY CALAIT IN THE COL GRAS
LIFT THE SQUARE STONE OVER THE FENCE,LIFT THE SQUARES TURN OVER THE FENCE
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE,THE ROPE WORL BEHIND THE SEVEN BOKS AT ONCE
HOP OVER THE FENCE AND PLUNGE IN,HOP OVER THE FENCE AND PLUNGHE IN
THE FRIENDLY GANG LEFT THE DRUG STORE,THE FRIENDLY GANG LEFT THE DRUG STOLE
MESH WIRE KEEPS CHICKS INSIDE,MESH WIE KEPS CHECKS INSIDE
THE FROSTY AIR PASSED THROUGH THE COAT,THE FROSTIERE PASED THROUGH THE COACH
THE CROOKED MAZE FAILED TO FOOL THE MOUSE,THE CROKED MACE FAILED TO FOL THE MOUSE
ADDING FAST LEADS TO WRONG SUMS,ADING FAST LADS TO WRONG PSALMS
THE SHOW WAS A FLOP FROM THE VERY START,THE SHY WIZ AFLOP FROM THE VERY START
A SAW AS A TOOL USED FOR MAKING BOARDS,A SAW IS A TOL USE FOR MAKING BOARDS
THE WAGON MOVED ON WELL OILED WHEELS,THE WAGON MOVED ON WEL OILED WHALES
MARCH THE SOLDIERS PAST THE NEXT HILL,MUCH THE SOLDIERS PAS THE NEXT HIL
A CUP OF SUGAR MAKES SWEET FUDGE,A CUP OF SUGAR MAKES SWET FUDGE
PLACE A ROSEBUSH NEAR THE PORCH STEPS,PLACE A ROSE BUSH NEAR THE PORCH STEPS
BOTH LOST THEIR LIVES IN THE RAGING STORM,BOTH LOST THEIR LIVES IN THE RAGING STORM
WE TALKED OF THE SIDE SHOW IN THE CIRCUS,WE TALKED OF THE SIDE SHOWIN THE CIRCUS
USE A PENCIL TO WRITE THE FIRST DRAFT,USE A PENCIL TO WRITE THE FIRST DRAUFT
HE RAN HALFWAY TO THE HARDWARE STORE,HE RAN HALFWAY TO THE HARDWAYT DOR
THE CLOCK STRUCK TO MARK THE THIRD PERIOD,THE CLOAK STRUCK TOMACH THE THIRD PERIOD
A SMALL CREEK CUT ACROSS THE FIELD,A SMAL CREK CAT ACROS THE FIELD
CARS AND BUSSES STALLED IN SNOW DRIFTS,CARS IN BUS'S STOLDIN SNOW DRIFTS
THE SET OF CHINA HIT THE FLOOR WITH A CRASH,THE SET OF CHINA HIT THE FLOR WITH A CRASH
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD,THIS IS A GRAND SEASON FOR HIKES ON THE ROAD
THE DUNE ROSE FROM THE EDGE OF THE WATER,THE JIN ROSE FROM THE EDGE OF THE WATER
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE,THESE WORDS WERE THE CUE FOR THE ACTOR O LAVE
A YACHT SLID AROUND THE POINT INTO THE BAY,A YACHT SLID AROUND THE POINT INTO THE BAY
THE TWO MET WHILE PLAYING ON THE SAND,THE TUMIT WAL PLAYING ON THE SAND
THE INK STAIN DRIED ON THE FINISHED PAGE,THE INK STAINED RIDL THE FINISHED PAGE
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT,THE WAR TOWN WAS SEIZED WITHOUT A FIGHT
THE LEASE RAN OUT IN SIXTEEN WEEKS,THE LACE RAN OUT IN SIXTEN WAGS
A TAME SQUIRREL MAKES A NICE PET,A TAME SQUIREL MAKES A NICE PET
THE HORN OF THE CAR WOKE THE SLEEPING COP,THE HORN OF THE COWARK THE SLEPING COP
THE HEART BEATS STRONGLY AND WITH FIRM STROKES,THE HOT BEAT STRONGLY AND WITH FIRM STRIKES
THE PEARL WAS WORN IN A THIN SILVER RING,THE PEAL WAS WARNING A THIN SILVER RING
THE FRUIT PEEL WAS CUT IN THICK SLICES,THE FRUIT PEAL WAS COUNTING FEK SLICES
THE NAVY ATTACKED THE BIG TASK FORCE,THE NAVY ATACK THE BE CHARS FORCE
SEE THE CAT GLARING AT THE SCARED MOUSE,SE THE CAT GLARING AT THI CAYED MOUSE
THERE ARE MORE THAN TWO FACTORS HERE,THERE ARE MORE THAN TWO FACTORS HE ARE
THE HAT BRIM WAS WIDE AND TOO DROOPY,THE HAT BRIM WAS WIDE AND TO DROPY
THE LAWYER TRIED TO LOSE HIS CASE,THE LAWYER TRIED TO LOSE HIS CASE
THE GRASS CURLED AROUND THE FENCE POST,THE GRAS CORLD AROUND THE FENCE POST
CUT THE PIE INTO LARGE PARTS,COUNT THE PYE INTO LARGE PATS
MEN STRIVE BUT SELDOM GET RICH,MEN STRIVE BUT SELDOM GET RICH
ALWAYS CLOSE THE BARN DOOR TIGHT,ALWAYS CLOSE THE BARN DOR TIGHT
HE LAY PRONE AND HARDLY MOVED A LIMB,HE LAY PURN AND HARDLY MOVED HER LEAM
THE SLUSH LAY DEEP ALONG THE STREET,THE SLUSH LAY DEP ALONG THE STREIT
A WISP OF CLOUD HUNG IN THE BLUE AIR,A WISP OF CLOUD HUNG IN THE BLUE AIR
A POUND OF SUGAR COSTS MORE THAN EGGS,A POUND OF SUGAR COSTS MORE THAN EGS
THE FIN WAS SHARP AND CUT THE CLEAR WATER,THE FIN WAS SHARP AND CUT THE CLEAR WATER
THE PLAY SEEMS DULL AND QUITE STUPID,THE PLACE SEMS DUL AND QUITE STUPID
BAIL THE BOAT TO STOP IT FROM SINKING,BAIL THE BOAT TO STOP IT FROM SINKING
THE TERM ENDED IN LATE JUNE THAT YEAR,THE TERM ENDED IN LATE DUNE THAT YEAR
A TUSK USED TO MAKE COSTLY GIFTS,ATASK IS USED TO MAKE COSTLY GIFTS
TEN PINS WERE SET IN ORDER,TENPENCE WERE SATIN ORA
THE BILL WAS PAID EVERY THIRD WEEK,THE BIL WAS PAID EVERY THIRD WEK
OAK IS STRONG AND ALSO GIVES SHADE,URKIS STRONGEN ALSO GIVES SHADE
CATS AND DOGS EACH HATE THE OTHER,CATS AND DOGS H HATE THE OVAL
THE PIPE BEGAN TO RUST WHILE NEW,THE PIOT BEGAN TO RUST WILD YEUW
OPEN THE CRATE BUT DON'T BREAK THE GLASS,OPEN THE CRAPE BUT DIGBRATE THE GLAS
ADD THE SUM TO THE PRODUCT OF THESE THREE,AD THE SUM TO THE PRODUCT OF THESE THRE
THIEVES WHO ROB FRIENDS DESERVE JAIL,PLEAVE TO ROPE FRIENDS DESERVE GILE
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE,THE WROUGHT TASTE OF CHESE IMPROVES WITH AGE
ACT ON THESE ORDERS WITH GREAT SPEED,ACT ON THESE ORDERS WITH GREAT SPADE
THE HOG CRAWLED UNDER THE HIGH FENCE,THE HUG CRULED UNDER THE HIGH FENCE
MOVE THE VAT OVER THE HOT FIRE,MEAVE THE BETER OVER THE HOT FRE
THE BARK OF THE PINE TREE WAS SHINY AND DARK,THE BOCK OF THE PINE TRE WAS SHINY AND DOG
LEAVES TURN BROWN AND YELLOW IN THE FALL,LEAVES TURN BROWN AND YELOW IN THE FAL
THE PENNANT WAVED WHEN THE WIND BLEW,THE PENANT WIPED WHEN THE WING BLEW
SPLIT THE LOG WITH A QUICK,SPLIT THE LOG WITH A QUICK
SHARP BLOW,SHOP LER
BURN PEAT AFTER THE LOGS GIVE OUT,BURN PAD AFTER THE LOGS GIVEOUT
HE ORDERED PEACH PIE WITH ICE CREAM,HE ORDERED PAGE PILE WITHICE CRAME
WEAVE THE CARPET ON THE RIGHT HAND SIDE,WAVE THE CARPET ON THE RIGHT HAND SIDE
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS,HEMPEZAWED FOUND IN POTS OF THE TROPACHS
A LAME BACK KEPT HIS SCORE LOW,A LAN BACK KEPT HIS SCHOL ARE
WE FIND JOY IN THE SIMPLEST THINGS,WE FIND JOY IN THE SIMPLEST THINGS
TYPE OUT THREE LISTS OF ORDERS,TIP OU THRE LISTS OF ORDERS
THE HARDER HE TRIED THE LESS HE GOT DONE,THE HARDER HE TRIED THE LIS HE GOT DON
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE,THE GOS RAN THE SHOW WITH A WATCHFUL EYE
THE CUP CRACKED AND SPILLED ITS CONTENTS,THE CUP CRACKED AND SPILED ITS CONTENTS
PASTE CAN CLEANSE THE MOST DIRTY BRASS,PASTE CAN CLEANSE THE MOST URDY BRAS
THE SLANG WORD FOR RAW WHISKY IS BOOZE,THE SLANG WORD FOR AL WAYS KEARS BOUSE
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP,IT CAUGHT ITS HIND POURING A RUSTY TRAP
THE WHARF COULD BE SEEN AT THE FARTHER SHORE,THE WOLF COULD BE SEN AT THE FATHERS SHOAL
FEEL THE HEAT OF THE WEAK DYING FLAME,FEL THE HEAT OF THE WEIGHT DYING FLAME
THE TINY GIRL TOOK OFF HER HAT,THE TINY GIRL TOK OF HER HAT
A CRAMP IS NO SMALL DANGER ON A SWIN,A CRAMP IS NO SMAL DANGER ON A SWIM
HE SAID THE SAME PHRASE THIRTY TIMES,HE SAID THE SAME PHRASE THIRTY TIMES
PLUCK THE BRIGHT ROSE WITHOUT LEAVES,PLOCK THE BRIGHT ROSE WITHOUT LEAVES
TWO PLUS SEVEN IS LESS THAN TEN,TWO PLAST SEVEN IS LES THAN TEN
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL,THE GLOW DEPENED IN THE EYES OF THE SWET GIRL
BRING YOUR PROBLEMS TO THE WISE CHIEF,BRING YOUR PROBLEMS TO THE WISE CHIEF
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH,RIOT A FOND NOTE TO THE FRIEND YE CHERISH
CLOTHES AND LODGING ARE FREE TO NEW MEN,CLOTHES AND LODGING OUR FREIGHT A NEW MEN
WE FROWN WHEN EVENTS TAKE A BAD TURN,WE FROWN WHEN EVENTS TAKE A BAD TURN
PORT IS A STRONG WINE WITH A SMOKY TASTE,PORT IS A STRONG WHINE WITH THE SMOKY TASTE
THE YOUNG KID JUMPED THE RUSTY GATE,THE YOUNG HID JUMPED THE RUSTY GATE
GUESS THE RESULT FROM THE FIRST SCORES,GES THE RESULT FROM THE FIRST SCAUSE
A SALT PICKLE TASTES FINE WITH HAM,A SALT PEACO TASTES FINE WITH HAM
THE JUST CLAIM GOT THE RIGHT VERDICT,THE JUST CLAIM GOT THE RIGHT VERITE
THOSE THISTLES BEND IN A HIGH WIND,THOSE THISTLES BURND IN A HIGH WIND
PURE BRED POODLES HAVE CURLS,PURE BREAD PODLES HAVE CURLS
THE TREE TOP WAVED IN A GRACEFUL WAY,THE TRE TOP WAVED IN A GRACEFUL WAY
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK,THE SPOT ON THE BLOCHA WAS MADE BY GREN INK
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT,MUD WAS SPATERED ON THE FRONT OF HIS WHITE SHIRT
THE CIGAR BURNED A HOLE IN THE DESK TOP,THE CIGAR BURNED A HOLE IN THE DESK TOP
THE EMPTY FLASK STOOD ON THE TIN TRAY,THE EMPTY FLASK STOD ON THETIN TRAY
A SPEEDY MAN CAN BEAT THIS TRACK MARK,A SPEDY MAN CAN BAIT THESE TRACK MOCK
HE BROKE A NEW SHOELACE THAT DAY,HE BROKE IN YE SHOE LACE THAT DAY
THE COFFEE STAND IS TOO HIGH FOR THE COUCH,THE COFE STAND IS TO HIGH FOR THE COUCH
