transcription,transcription_whisper_base
AFTER THE DANCE, After the dawns.
THEY WENT STRAIGHT HOME, They went straight home.
THE HOST HAS TAUGHT THE NEW MAID TO SERVE, The host has taught the new maid to serve.
HE WROTE HIS LAST NOVEL THERE AT THE INN, He wrote his last novel there at the end.
EVEN THE WORST WILL BEAT HIS LOW SCORE, Even the worse will beat his low score.
THE CEMENT HAD DRIED WHEN HE MOVED IT, This cement had dried when he moved it.
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE, The loss of the second ship was hard to take.
THE FLY MADE ITS WAY ALONG THE WALL, The fly made its way along the wall.
DO THAT WITH A WOODEN STICK, Do that with a wooden stake.
LIVE WIRES SHOULD BE KEPT COVERED, Live wise should be kept covered.
THE LARGE HOUSE HAD HOT WATER TAPS, The large house had hot water taps.
IT IS HARD TO ERASE BLUE OR RED INK, It is hard to erase blue already ink.
WRITE AT ONCE OR YOU MAY FORGET IT, Write it once or you may forget it.
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS, The door knob was made of bright clean brass.
THE WRECK OCCURRED BY THE BANK ON MAIN STREET, The record code by the bank on Main Street
A PENCIL WITH BLACK LEAD WRITES BEST, A pencil with black lead writes best.
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET, Coke's a young calf to drink from a bucket.
SCHOOLS FOR LADIES TEACH CHARM AND GRACE, Schools for ladies teach charm and grace.
THE LAMP SHONE WITH A STEADY GREEN FLAME, The lamp shone with the steady green flame.
THEY TOOK THE AXE AND THE SAW OF THE FOREST, They took the axe and the sword to the forest.
THE ANCIENT COIN WAS QUITE DULL AND WORN, Gainchant coin was quite dull and worn.
THE SHAKY BARN FELL WITH A LOUD CRASH, This shaky bond filled with a loud crash.
JAZZ AND SWING FANS LIKE FAST MUSIC, Jazz and swing fans like fast music.
RAKE THE RUBBISH UP AND THEN BURN IT, Break the rubbish shop and then burn it.
SLASH THE GOLD CLOTH INTO FINE RIBBONS, Slash the gold claw thing to find ribbons.
TRY TO HAVE THE COURT DECIDE THE CASE, Try to have the court decide the case.
THEY ARE PUSHED BACK EACH TIME THEY ATTACK, They are pushed back each time they attack.
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS, He broke his ties with groups of former friends.
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS, They floated on the raft to send their white backs.
THE MAP HAD AN X THAT MEANT NOTHING, The map had a mix that meant nothing.
WHITINGS ARE SMALL FISH CAUGHT IN NETS, Widing's are small fish caught in nets.
SOME ADS SERVE TO CHEAT BUYERS, Some ads serve to cheat buyers.
JERK THE ROPE IN THE BELL RINGS WEAKLY, Check the rope and the bell rings weekly.
A WAXED FLOOR MAKES US LOSE BALANCE, A wax floor makes us lose balance.
MADAM, Madam
THIS IS THE BEST BRAND OF CORN, This is the best brand of corn.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, On the islands the sea breeze is soft and mild.
THE PLAY BEGAN AS SOON AS WE SAT DOWN, The play began as soon as we set down.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, this will lead the world to more sound and fury.
ADD SALT BEFORE YOU FRY THE EGG, Add salt before you fry the egg.
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, The rush for funds reached its peak Tuesday.
THE BIRCH LOOKED STARK WHITE AND LONESOME, The birch looks stark white and loansome.
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The box is held by a bright red snapper.
TO MAKE PURE ICE, To make pure rice.
YOU FREEZE WATER, You freeze water.
THE FIRST WORM GETS SNAPPED EARLY, The first worm gets snapped early.
JUMP THE FENCE AND HURRY UP THE BANK, Jump the fence and hurry up the bank.
YELL AN CLAP AS THE CURTAIN SLIDES BACK, Yellen clappers the kitchen slides back.
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD, They are men who walk the middle of the road.
BOTH BROTHERS WERE THE SAME SIZE, Both brothers with the same size.
IN SOME FORM OR OTHER WE NEED FUN, In some form or other we need fun.
THE PRINCE ORDERED HIS HEAD CHOPPED OFF, The prince ordered his head chopped off.
THE HOUSES ARE BUILT OF RED CLAY BRICKS, The houses are built to red clay bricks.
DUCKS FLY NORTH BUT LACK A COMPASS, Ducks fly north but lack a compass.
FRUIT FLAVORS ARE USED IN FIZZ DRINKS, Fruit flavors I used in Fizz drinks.
THESE PILLS DO LESS GOOD THAN OTHERS, These pills too less good than others.
CANNED PEARS LACK FULL FLAVOR, Cam pairs like full flavour.
THE DARK POT HUNG IN THE FRONT CLOSET, The dark port hung in the front closet.
CARRY THE PAIL TO THE WALL AND SPILL IT THERE, Carry the pale to the wall and spill it there.
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN, The train brought a hero to the big town.
WE ARE SURE THAT ONE WAR IS ENOUGH, We are sure that one war is enough.
GREAT PAINTS STRETCHED FOR MILES AROUND, grey paint stretch from else around.
THE RUDE LAUGH FILLED THE EMPTY ROOM, The root loft filled the empty room.
HIGH SEATS ARE BEST FOR FOOTBALL FANS, I see it's our best football fans.
TEA SERVED FROM THE BROWN JUG IS TASTY, Tee served from the brown jaguist tasty.
A DASH OF PEPPER SPOILS BEEF STEW, A dash of pepper spoils beef stew.
A ZESTFUL FOOD IS THE HOT CROSS BUN, Asist for foodies the hot cross barn.
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE, The horse trotted around the field at a brisk pace.
FIND THE TWIN WHO STOLE THE PEARL NECKLACE, Find the twin who stole the pearl necklace.
CUT THE CORD THAT BINDS THE BOX TIGHTLY, Cut the cord that binds the box tightly.
THE RED TAPE BOUND THE SMUGGLED FOOD, The red tape down the smuggled food.
LOOK IN THE CORNER TO FIND THE TAN SHIRT, Looking in the corner to find the 10-shirt.
THE COLD DRIZZLE WILL HALT THE BOND DRIVE, The cold drizzle will halt the bond drive.
NINE MEN WERE HIRED TO DIG THE RUINS, Nine men were hired to dig the ruins.
THE JUNKYARD HAD A MOULDY SMELL, The junkyard had a moldy smell.
THE FLINT SPUTTERED AND LIT A PINE TORCH, The fling spotted and litre pine torch.
SOAK THE CLOTH AND DROWN THE SHARP ODOUR, Soak the cloth and drown the sharp odor.
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS, The shelves were bare of both jam or crackers.
A JOY TO EVERY CHILD IS THE SWAN BOAT, I enjoy to every child is this one boat.
ALL SAT FROZEN AND WATCHED THE SCREEN, All set frozen and watch the screen.
A CLOUD OF DUST STUNG HIS TENDER EYES, A cloud of dust stung his tender eyes.
TO REACH THE END HE NEEDS MUCH COURAGE, To reach the end he needs much courage.
SHAPE THE CLAY GENTLY INTO BLOCK FORM, Shape the clay gently into block form.
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW, A regional smooth surface is a bump or floor.
HEDGE APPLES MAY STAIN YOUR HANDS GREEN, Headjapples may stain your hands green.
QUENCH YOUR THIRST, Quinture first.
THEN EAT THE CRACKERS, Then meet the crackers.
TIGHT CURLS GET LIMP ON RAINY DAYS, Tight calls get limp on rainy days.
THE MUTE MUFFLED THE HIGH TONES OF THE HORN, The mute muffled the high tones of the horn.
THE GOLD RING FITS ONLY A PIERCED EAR, The gold ring fits only a piece T.
THE OLD PAN WAS COVERED WITH HARD FUDGE, The old pan was covered with hard fudge.
WATCH THE LOG FLOAT IN THE WIDE RIVER, Watch the log floating the wide river.
THE NOTE ON THIS STALK OF WHEAT GREW DAILY, The note on the stalk of wheat grew daily.
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE, The heap of fallen leaves was set on fire.
RITE FAST IF YOU WANT TO FINISH EARLY, Right fast if you want to finish early.
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE, His shirt was clean but one button was gone.
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS, The barrel of B was a groove molten hopes.
TIN CANS ARE ABSENT FROM STORE SHELVES, Team Cancer absent from store shelves.
SLIDE THE BOX INTO THAT EMPTY SPACE, Slide the box into that empty space.
THE PLANT GREW LARGE AND GREEN IN THE WINDOW, The plant grew large and grainy in the window.
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD, The beam dropped down on the workman's head.
PINK CLOUDS FLOATED WITH THE BREEZE, Pink clouds floated with the breeze.
SHE DANCED LIKE A SWAN, She danced like a swan.
TALL AND GRACEFUL, Tool and Graceful
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS, The tube was blown and the tire flat and useless.
IT IS LATE MORNING ON THE OLD WALL CLOCK, It is like morning on the old wall clock.
LET'S ALL JOIN AS WE SING THE LAST CHORUS, Let all join as we sing the last chorus.
THE LAST SWITCH CANNOT BE TURNED OFF, The last switch cannot be turned off.
THE FIGHT WILL END IN JUST SIX MINUTES, The fight will end in just 6 minutes.
THE STORE WALLS WERE LINED WITH COLORED FROCKS, The stalemates were lined with coloured frogs.
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS, The peace league met to discuss their plans.
THE RISE TO FAME OF A PERSON TAKES LUCK, The rise to fame of a person takes luck.
PAPER IS SCARCE, Papery skis
SO WRITE WITH MUCH CARE, So write with much care.
THE QUICK FOX JUMPED ON THE SLEEPING CAT, The quick fox jumped on the sleeping cat.
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS, The nozzle of the file hose was bright browns.
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED, Screw the round cap on as tight as needed.
TIME BRINGS US MANY CHANGES, Time brings us many changes.
THE PURPLE TIE WAS TEN YEARS OLD, The purple tie was 10 years old.
MEN THINK AND PLAN AND SOMETIMES ACT, Men think in plan and sometimes act.
FILL THE INK JAR WITH STICKY GLUE, fill the ink jar with sticky glue
HE SMOKE A BIG PIPE WITH STRONG CONTENTS, He smoke a big pipe with strong contents.
WE NEED GRAIN TO KEEP OUR MULES HEALTHY, We need grain to keep our meals healthy.
PACK THE RECORDS IN A NEAT THIN CASE, Pack the records in an 8th case.
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND, The crunch of feet in the snow was the only sound.
THE COPPER BOWL SHONE IN THE SUN'S RAYS, The copper bell shone in the sun's rays.
BOARDS WILL WARP UNLESS KEPT DRY, Boards will warp unless kept dry.
THE PLUSH CHAIR LEANED AGAINST THE WALL, The posh chair leaned against the wall.
GLASS WILL CLINK WHEN STRUCK BY METAL, Glass hook link when struck by metal.
BATHE AND RELAX IN THE COOL GREEN GRASS, Pay then relax in the cool green grass.
NINE ROWS OF SOLDIERS STOOD IN A LINE, 9 rows of soldiers stood in a line.
THE BEACH IS DRY AND SHALLOW AT LOW TIDE, The beach is dry and shallow at low tide.
THE IDEA IS TO SOW BOTH EDGES STRAIGHT, The idea is to sobo-fidges straight.
THE KITTEN CHASED THE DOG DOWN THE STREET, The kitten chased the dog down the street.
PAGES BOUND IN CLOTH MAKE A BOOK, Pages bound in cloth make a book.
TRY TO TRACE THE FINE LINES OF THE PAINTING, Try to trace the fine lines of the painting.
WOMEN FORM LESS THAN HALF OF THE GROUP, Women form less than half of the group.
THE ZONES MERGE IN THE CENTRAL PART OF TOWN, The Zones merge in the central part of town.
A GEM IN THE ROUGH NEEDS WORK TO POLISH, OJM in the rough needs work to polish.
CODE IS USED WHEN SECRETS ARE SENT, Code is used when secrets are sent.
MOST OF THE NEWS IS EASY FOR US TO HEAR, Most of the news is easy for us to hear.
HE USED THE LATHE TO MAKE BRASS OBJECTS, He used the lathe to make brass objects.
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND, The vein on top of the pole revolved in the wind.
MINCE PIE IS A DISH SERVE TO CHILDREN, Mints Pies are dish served to children.
THE CLAN GATHERED ON EACH DULL NIGHT, The clan gathered on each day of night.
LET IT BURN, Let's keep burn.
IT GIVES US WARMTH AND COMFORT, It gives us warmth and comfort.
A CASTLE BUILT FROM SAND FAILS TO ENDURE, A castle built from sand fails to endure.
A CHILD'S WIT SAVE THE DAY FOR US, I child's would save the day for us.
TACK THE STRIP OF CARPET TO THE WORN FLOOR, Attack the strip of carpet to the warm floor.
NEXT TUESDAY WE MUST VOTE, next Tuesday we must vote
POUR THE STEW FROM THE POT INTO THE PLATE, Pull this tube from the pot into the plate.
EACH PENNY SHONE LIKE NEW, Each penny shone like new.
THE MAN WENT TO THE WOODS TO GATHER STICKS, The man went to the woods to gather sticks.
THE DIRT PILES WERE LINES ALONG THE ROAD, The dirt piles were lined along the road.
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM, The logs fell and tumbled into the clear stream.
JUST HOIST IT UP AND TAKE IT AWAY, Just waste it up and take it away.
A RIPE PLUM IS FIT FOR A KING'S PALATE, A right Plummy's fit for a King's Palette.
OUR PLANS RIGHT NOW ARE HAZY," I plan right now, I'll haze."
BRASS RINGS ARE SOLD BY THESE NATIVES, Brass rings are sold by these natives.
IT TAKES A GOOD TRAP TO CAPTURE A BEAR, It takes a good trap to capture and bear.
FEED THE WHITE MOUSE SOME FLOWER SEEDS, Feed the white mouse some flower seeds.
THE THAW CAME EARLY AND FREED THE STREAM, The Thor came early and freed the stream.
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE, He took the lead and kept at the whole distance.
THE KEY YOU DESIGNED WILL FIT THE LOOK, The key design will fit the log.
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF, Plead to the Council to free the poor thief.
BETTER HASH IS MADE OF RARE BEEF, Better has she's made of red beef.
THIS PLANK WAS MADE FOR WALKING ON, This plank was made for walking on.
THE LAKE SPARKLED IN THE RED HOT SUN, The lake sparkled in the red hot sun.
HE CRAWLED WITH CARE ALONG THE LEDGE, He crawled with care along the ledge.
TEND THE SHEEP WHILE THE DOG WANDERS, 10th is sheep while the dog wonders
IT TAKES A LOT OF HELP TO FINISH THESE, It takes a lot of help to finish these.
MARK THE SPOT WITH A SIGN PAINTED RED, Mark the spot with a sign pane to dread.
TAKE TWO SHARES AS A FAIR PROFIT, Take two shares as a fair profit.
THE FUR OF CATS GOES BY MANY NAMES, The Ferif cats go by many names.
NORTH WINDS BRING COLDS AND FEVERS, North wind spring holds and fevers.
HE ASKS NO PERSON TO VOUCH FOR HIM, He asks no person to vouch for him.
GO NOW AND COME HERE LATER, Go now and come here later.
A SASH OF GOLD SILK WILL TRIM HER DRESS, A sesh of gold silk will trim her dress.
SOAP CAN WASH MOST DIRT AWAY, Soap King Wash most do it away.
THAT MOVE MEANS THE GAME IS OVER, That move means the game is over.
HE WROTE DOWN A LONG LIST OF ITEMS, He wrote down a long list of items.
A SIEGE WILL CRACK THE STRONG DEFENCE, A siege will craft the strong defense.
GRAPE JUICE AND WATER MIX WELL, Grape juice and water mix well.
ROADS ARE PAVED WITH STICKE TAR, Roads are paved with sticky tar.
FAKE STONES SHINE BUT COST LITTLE," Thanks, don't shine but cost little."
THE DRIP OF THE RAIN MADE A PLEASANT SOUND, The drop of the rain made a pleasant sound.
SMOKE POURED OUT OF EVERY CRACK, Smoke poured out of every crack.
SERVE THE HOT RUM TO THE TIRED HEROES, Serve the hot rum to the tired heroes.
MUCH OF THIS STORY MAKES GOOD SENSE, Much of the story makes good sense.
THE SUN CAME UP TO LIGHT THE EASTERN SKY, The sun came out to light the east in sky.
HEAVE THE LINE OVER THE PORT SIDE, Heave the line over the port side.
A LATHE CUTS AND TRIMS ANY WOOD, I'll leave cuts and trumps any wood.
IT'S A DENSE CROWD IN TWO DISTINCT WAYS, It's a dense crowd in two distinct ways.
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER, His heaps struck the knee of the next player.
THE STALE SMELL OF OLD BEER LINGERS, The Stales Mellow Fold Bealingers
THE DESK WAS FIRM ON THE SHAKY FLOOR, The desk was firm on the shaky floor.
IT TAKES HEAT TO BRING OUT THE ODOR, It takes you to bring out the odor.
BEEF IS SCARCER THAN SOME LAMB, Be case scarcer than some lamb.
RAISE THE SAIL AND STEER THE SHIP NORTHWARD," Raise the Salon Stevers, shoot Northwood."
A CONE COSTS FIVE CENTS ON MONDAYS, I'm currently costs five cents on Mondays.
A POD IS WHAT PEAS ALWAYS GROW IN, A point is what peace always growing.
JERK THAT DART FROM THE CORK TARGET, Julk bit dart from the cork target.
NO CEMENT WILL HOLD HARD WOOD, No cement will hold hardwood.
WE NOW HAVE A NEW BASE FOR SHIPPING, We now have a new base for shipping.
A LIST OF NAMES IS CARVED AROUND THE BASE, A list of names is carved around the base.
THE SHEEP WERE LED HOME BY A DOG, The sheep were led home by a dog.
THREE FOR A DIME, Three for a dime.
THE YOUNG PEDDLER CRIED, The young peddler cried.
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH, The sense of smell is better than that of torch.
NO HARDSHIP SEEMED TO MAKE HIM SAD, No hardship seemed to make him sad.
GRACE MAKES UP THE LACK OF BEAUTY, Grace makes up for lack of beauty.
NODGE GENTLY BUT WAKE HER NOW, Nudge gently but wake her now.
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS, The news struck doubt into restless minds.
ONCE WE STOOD BESIDE THE SHORE, Once we stoop beside the show.
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW, A chinky no-wall allowed a draft to blow.
FASTEN TWO PINS ON EACH SIDE, Fasten two pins on each side.
A COLD DIP RESTORES HEALTH AND ZEST., A cold deep-brace Tours health and zest.
HE TAKES THE OATH OF OFFICE EACH MARCH, He takes the oath of office each March.
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE, The sand drift over the seals of the old house.
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED, The point of the steel pan was bent and twisted.
THERE IS A LAG BETWEEN THOUGHT AND ACT, There is a lag between thought and act.
SEED IS NEEDED TO PLANT THE SPRING CORN, Seed is needed to plant the spring corn.
DRAW THE CHART WITH HEAVY BLACK LINES, Draw the chart with heavy black lines.
THE BOY OWED HIS PAL THIRTY CENTS, The boy owed his pal 30 cents.
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST, The chap slipped into the crowd and was lost.
HATS ARE WORN TO TEA AND NOT TO DINNER, Hats are wanted here not to do now.
THE RAMP LED UP TO THE WIDE HIGHWAY, The ramp lead up to the wide highway.
BEAT THE DUST FROM THE RUG ONTO THE LAWN, Beat the dust from the rug onto the lawn.
SAY IT SLOWLY BUT MAKE IT RING CLEAR, Say it slowly but make it wrinkly or.
THE STRAW NEST HOUSED FIVE ROBINS, The Straw Nist housed five robins.
SCREEN THE PORCH WITH WOVEN STRAW MATS, Screen the porch with woven straw mats.
THIS HORSE WILL NOSE HIS WAY TO THE FINISH, This horse will nose his way to the finish.
THE DRY WAX PROTECTS THE DEEP SCRATCH, The dry wax protects the deep scratch.
HE PICKED UP THE DICE FOR A SECOND ROLL, He picked up the dice for a second roll.
THESE COINS WILL BE NEEDED TO PAY HIS DEBT, These coins will be needed to pay his debt.
THE NAG PULLED THE FRAIL CART ALONG, The nag pulled the frail car to long.
TWIST THE VALVE AND RELEASE HOT STEAM, Twist the valve and release hot steam.
THE VAMP OF THE SHOE HAD A GOLD BUCKLE, The vamp of this shoe had a gold buckle.
THE SMELL OF BURNED RAGS ITCHES MY NOSE," The smell of burned rags, itches my nose."
NEW PANTS LACK CUFFS AND POCKETS, New pan slack cuffs and pockets.
THE MARSH WILL FREEZE WHEN COLD ENOUGH, The marsh will freeze when cold enough.
THEY SLICE THE SAUSAGE THIN WITH A KNIFE, They slice the sausage thing with a knife.
THE BLOOM OF THE ROSE LASTS A FEW DAYS, The bloom of the rose lasts a few days.
A GREY MARE WALKED BEFORE THE COLT, A grey mare walked before the cult.
BREAKFAST BUNS ARE FINE WITH A HOT DRINK, Breakfast buns are fine with a hot drink.
BOTTLES HOLD FOUR KINDS OF RUM, Bottle's hold full kinds of rum.
THE MAN WORE A FEATHER IN HIS FELT HAT, The man wore a feather in his felt heart.
HE WHEELED THE BIKE PAST THE WINDING ROAD, He wheeled the bike past the winding road.
DROP THE ASHES ON THE WORN OLD RUG, Drop the ashes on the one old rug.
THE DESK AND BOTH CHAIRS WERE PAINTED TAN, The disc and both chairs were painted tan.
THROW OUT THE USED PAPER CUP AND PLATE, Throw out the use paper cup and plate.
A CLEAN NECK MEANS A NEAT COLLAR, A clean neck means a neat collar.
THE COUCH COVER AND HALL DRAPES WERE BLUE, The couch cover and hall drapes were blue.
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE, The stems of the tall glasses cracked and broke.
THE WALL PHONE RANG LOUD AND OFTEN, The wall phone rang loud and often.
THE CLOTHES DRIED ON A THIN WOODEN RACK, The clothes dried on a thin wooden rack.
TURN OUT THE LANTERN WHICH GIVES US LIGHT, Turn out the lantern which gives us light.
THE CLEAT SANK DEEPLY INTO THE SOFT TURF, The cleat sank deeply into the soft turf.
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH, The bills will mailed promptly on the 10th of the month.
TO HAVE IS BETTER THAN TO WAIT AND HOPE, To have is better than to wait and hope.
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK, The price is fair for a good antique clock.
THE MUSIC PLAYED ON WHILE THEY TALKED, The music played on while they taught.
DISPENSE WITH A VEST ON A DAY LIKE THIS, to spend with the best on a day like this.
THE BUNCH OF GRAPES WAS PRESSED INTO WINE, The bunch of grapes was pressing to wine.
HE SENT THE FIGS, He sent the figs.
BUT KEPT THE RIPE CHERRIES, But keep the ripe cherries.
THE HINGE ON THE DOOR CREAKED WITH OLD AGE, Behinge on the door creaked with old age.
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS, The screen before the fire kept in the sparks.
FLY BY NIGHT AND YOU WASTE LITTLE TIME, Fly by night a new waste little time.
THICK GLASSES HELPED HIM READ THE PRINT, The glasses helped him read the pre-int.
BIRTH AND DEATH MARKS THE LIMITS OF LIFE, Birth and death marks the limits of life.
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM, The chair looked strong but had no bottom.
THE KITE FLEW WILDLY IN THE HIGH WIND, The kite flew wildly in the high wind.
A FUR MUFF IS STYLISH ONCE MORE, I firm up this stylish one small.
THE TIN BOXS HELD PRICELESS STONES, The team box held priceless stones.
WE NEED AN END OF ALL SUCH MATTER, We need an end of all such matter.
THE CASE WAS PUZZLING TO THE OLD AND WISE, The case was puzzling to the old and wise.
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN, The bright lanterns were gay on the dark lawn.
WE DON'T GET MUCH MONEY BUT WE HAVE FUN, We don't get much money but we have fun.
THE YOUTH DROVE WITH ZEST, The youth drove with zest.
BUT LITTLE SKILL, But little skill.
FIVE YEARS HE LIVED WITH A SHAGGY DOG, 5 years he lived with a shaggy dog.
A FENCE CUT THROUGH THE CORNER LOT, Offense cuts through the corner lot.
THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH, The way to save money is not to spend much.
SHUT THE HATCH BEFORE THE WAVES PUSH IT IN, Shut the hatch before the waves push it in.
THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP, The odor of spring makes young hearts jump.
CRACK THE WALNUT WITH YOUR SHARP SIDE TEETH, Crack the walnut with your sharp side teeth.
HE OFFERED PROOF IN THE FORM OF A LARGE CHART, He offered proof in the form of a large chart.
SEND THE STUFF IN A THICK PAPER BAG, Send the stuff in a thick paper bag.
A QUART OF MILK IS WATER FOR THE MOST PART, A quarter of milk is watered for the most part.
THEY TOLD WILD TALES TO FRIGHTEN HIM, They told wild tales to frighten him.
THE THREE STORY HOUSE WAS BUILT OF STONE, The Three Story House was built of stone.
IN THE REAR OF THE GROUND FLOOR WAS A LARGE PASSAGE, In the rear of the ground floor was a large passage.
A MAN IN A BLUE SWEATER SAT AT THE DESK, I'm manning a blue sweater sat at the desk.
OATS ARE A FOOD EATEN BY HORSE AND MAN, Oats are refu-d eaten by horse and man.
THEIR EYELIDS DROOP FOR WANT OF SLEEP, There are leads to the one of the slay.
A SIP OF TEA REVIVES HIS TIRED FRIEND, A soup of tea revives his tired friend.
THERE ARE MANY WAYS TO DO THESE THINGS, There are many ways to do these things.
TUCK THE SHEET UNDER THE EDGE OF THE MAT, Talk the sheet under the edge of the mat.
A FORCE EQUAL TO THAT WOULD MOVE THE EARTH, A force equal to that would move the Earth.
WE LIKE TO SEE CLEAR WEATHER, We like to seek me with them.
THE WORK OF THE TAILOR IS SEEN ON EACH SIDE, the work of the tailor is seen on each side.
TAKE A CHANCE AND WIN A CHINA DOLL, Take a chance and win a China Dull.
SHAKE THE DUST FROM YOUR SHOES, Shake the dust from your shoes.
STRANGER, Stranger
SHE WAS KIND TO SICK OLD PEOPLE, She was kind to seek hold people.
THE SQUARE WOODEN CRATE WAS PACKED TO BE SHIPPED, The square wooden crate was packed to be shipped.
THE DUSTY BENCH STOOD BY THE STONE WALL, The dusty bench stood by the stone wall.
WE DRESS TO SUIT THE WEATHER OF MOST DAYS, We dress to suit the weather of most days.
SMILE WHEN YOU SAY NASTY WORDS, Smile when you say nasty words.
A BOWL OF RICE IS FREE WITH CHICKEN STEW, A bowl of rice is free with chickens too.
THE WATER IN THIS WELL IS A SOURCE OF GOOD HEALTH, The watering this well is a source of good health.
TAKE SHELTER IN THIS TENT, Take shelter in this tent.
BUT KEEP STILL, But keeps too.
THAT GUY IS THE WRITER OF A FEW BANNED BOOKS, That guy is the writer of the few band books.
THE LITTLE TALES THEY TELL ARE FALSE, The little tails they tell our fools.
THE DOOR WAS BARRED, The door was barred.
LOOKED, Long!
AND BOLTED AS WELL, and bolted as well
RIPE PEARS ARE FIT FOR A QUEEN'S TABLE, Right pairs of feet for a queen's table.
A BIG WET STAIN WAS ON THE ROUND CARPET, A big wet stain was on the round carpet.
THE KITE DIPPED AND SWAYED, The kite dipped in suede.
BUT STAYED ALOFT, but stay the loft
THE PLEASANT HOURS FLY BY MUCH TOO SOON, The pleasant hours fly by much too soon.
THE ROOM WAS CROWDED WITH A WILD MOB, The room was crowded with a wall mob.
THIS STRONG ARM SHALL SHIELD YOUR HONOR," Be strong, arms shall shield your honor."
SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID, She blusged when he gave her a white hawk head.
THE BEETLE DRONED IN THE HOT JUNE SUN, The beetle drowned in the hot June sun.
PRESS THE PEDAL WITH YOUR LEFT FOOT, Press the pedal with your left foot.
NEAT PLANS FAIL WITHOUT LUCK, Meet plans fail without lock.
THE BLACK TRUNK FELL FROM THE LANDING, The black trunk fell from the landing.
THE BANK PRESSED FOR PAYMENT OF THE DEBT, The bank press the payment of the debt.
THE THEFT OF THE PEARL PIN WAS KEPT SECRET, The theft of the Pope being was kept secret.
SHAKE HANDS WITH THIS FRIENDLY CHILD, Shake hands with this friendly child.
THE VAST SPACE STRETCHED INTO THE FAR DISTANCE, The vast space stretch into the far distance.
A RICH FARM IS RARE IN THIS SANDY WASTE, A rich farm is rare in this sandy waste.
HIS WIFE GRIN EARNED MANY FRIENDS, He's wide-greener and many friends.
FLAX MAKES A FINE BRAND OF PAPER, Flex makes a fine brand of paper.
HURDLE THE PIT WITH THE AID OF A LONG POLE, Hurt all the pit with the aid of a long pole.
A STRONG BID MAY SCARE YOUR PARTNER STIFF, A strong bid may scare your partners too.
EVEN A JUST CAUSE NEEDS POWER TO WIN, Even a just cause needs power to win.
PEEP UNDER THE TENT AND SEE THE CLOWNS, Peep under the tent and see the clowns.
THE LEAF DRIFTS ALONG WITH A SLOW SPIN, The leaf drifts along with a slow spin.
CHEAP CLOTHES ARE FLASHY BUT DON'T LAST, Sheep clothes are flashy but don't last.
A THING OF SMALL NOTE CAN CAUSE DESPAIR, A thing of small note can cause despair.
FLOOD THE MAILS WITH REQUESTS FOR THIS BOOK, Flood the males with requests for this book.
A THICK COAT OF BLACK PAINT COVERED ALL, A thick coat of black paint covered all.
THE PENCIL WAS CUT TO BE SHARP AT BOTH ENDS, The pencil was cut to be sharp at both ends.
THOSE LAST WORDS WERE A STRONG STATEMENT, Those last words were a strong statement.
